Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,208,All cancers,2,8080,7853,8313,8080,95.9,275.3,10.1
1,C00-06,208,"Lip, oral cavity",2,46,33,63,46,0.59,1.6,0.07
2,C07-08,208,Salivary glands,2,10,5,21,10,0.11,0.34,0.01
3,C09-10,208,Oropharynx,2,44,30,65,44,0.69,1.5,0.08
4,C11,208,Nasopharynx,2,3,1,10,3,0.02,0.10,0.00
5,C12-13,208,Hypopharynx,2,12,6,22,12,0.18,0.41,0.02
6,C15,208,Oesophagus,2,124,93,165,124,1.5,4.2,0.17
7,C16,208,Stomach,2,161,126,205,161,2.0,5.5,0.22
41,C18-C21,208,Colorectum,2,950,-,-,950,9.9,32.4,1.0
11,C22,208,Liver and intrahepatic bile ducts,2,199,154,258,199,2.2,6.8,0.25
12,C23,208,Gallbladder,2,39,23,66,39,0.42,1.3,0.05
13,C25,208,Pancreas,2,614,529,713,614,7.1,20.9,0.82
14,C32,208,Larynx,2,19,11,33,19,0.22,0.65,0.03
15,C33-34,208,"Trachea, bronchus and lung",2,1842,1653,2053,1842,23.6,62.8,2.8
16,C43,208,Melanoma of skin,2,147,108,201,147,1.8,5.0,0.18
17,C44,208,Non-melanoma skin cancer,2,33,21,51,33,0.25,1.1,0.01
18,C45,208,Mesothelioma,2,24,14,40,24,0.25,0.82,0.03
19,C46,208,Kaposi sarcoma,2,1,0,5,1,0.01,0.03,0.00
20,C50,208,Breast,2,1114,983,1263,1114,14.1,38.0,1.5
21,C51,208,Vulva,2,42,29,61,42,0.38,1.4,0.03
22,C52,208,Vagina,2,8,4,18,8,0.07,0.27,0.01
23,C53,208,Cervix uteri,2,115,66,202,115,1.8,3.9,0.19
24,C54,208,Corpus uteri,2,179,149,215,179,1.9,6.1,0.22
25,C56,208,Ovary,2,368,304,446,368,4.9,12.5,0.57
29,C64,208,Kidney,2,118,89,157,118,1.3,4.0,0.14
30,C67,208,Bladder,2,154,106,223,154,1.5,5.3,0.14
31,C70-72,208," Brain, central nervous system",2,236,192,289,236,3.8,8.0,0.41
32,C73,208,Thyroid,2,28,18,43,28,0.28,0.95,0.03
33,C81,208,Hodgkin lymphoma,2,13,7,24,13,0.12,0.44,0.01
34,C82-86+C88,208,Non-Hodgkin lymphoma,2,168,118,239,168,1.7,5.7,0.17
35,C90,208,Multiple myeloma,2,123,83,181,123,1.3,4.2,0.14
36,C91-95,208,Leukaemia,2,246,202,299,246,2.7,8.4,0.25
