Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,474,All cancers,2,427,375,486,427,68.5,211.0,7.1
1,C00-06,474,"Lip, oral cavity",2,1,1,1,1,0.06,0.49,0.00
2,C07-08,474,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,474,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,474,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,474,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,474,Oesophagus,2,4,4,4,4,0.71,2.0,0.11
7,C16,474,Stomach,2,40,26,62,40,5.4,19.8,0.55
41,C18-C21,474,Colorectum,2,55,-,-,55,7.5,27.2,0.73
11,C22,474,Liver and intrahepatic bile ducts,2,16,15,17,16,2.2,7.9,0.26
12,C23,474,Gallbladder,2,6,3,14,6,0.89,3.0,0.11
13,C25,474,Pancreas,2,31,29,33,31,4.3,15.3,0.52
14,C32,474,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,474,"Trachea, bronchus and lung",2,28,28,28,28,4.9,13.8,0.60
16,C43,474,Melanoma of skin,2,0,0,0,0,0.00,0.00,0.00
17,C44,474,Non-melanoma skin cancer,2,1,1,1,1,0.06,0.49,0.00
18,C45,474,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,474,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,474,Breast,2,74,73,75,74,16.3,36.6,1.7
21,C51,474,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,474,Vagina,2,2,1,5,2,0.27,0.99,0.04
23,C53,474,Cervix uteri,2,14,13,16,14,2.5,6.9,0.29
24,C54,474,Corpus uteri,2,13,13,13,13,1.9,6.4,0.22
25,C56,474,Ovary,2,10,10,10,10,1.5,4.9,0.14
29,C64,474,Kidney,2,4,4,4,4,0.93,2.0,0.11
30,C67,474,Bladder,2,7,7,7,7,0.59,3.5,0.04
31,C70-72,474," Brain, central nervous system",2,5,5,5,5,1.2,2.5,0.17
32,C73,474,Thyroid,2,2,2,2,2,1.2,0.99,0.10
33,C81,474,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,474,Non-Hodgkin lymphoma,2,15,14,16,15,2.7,7.4,0.32
35,C90,474,Multiple myeloma,2,20,17,24,20,2.9,9.9,0.32
36,C91-95,474,Leukaemia,2,18,17,19,18,3.0,8.9,0.27
