Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,300,All cancers,2,13265,12968,13568,13265,76.4,252.6,7.9
1,C00-06,300,"Lip, oral cavity",2,103,79,135,103,0.51,2.0,0.05
2,C07-08,300,Salivary glands,2,23,15,36,23,0.08,0.44,0.01
3,C09-10,300,Oropharynx,2,9,5,18,9,0.07,0.17,0.01
4,C11,300,Nasopharynx,2,25,15,41,25,0.16,0.48,0.02
5,C12-13,300,Hypopharynx,2,3,1,15,3,0.01,0.06,0.00
6,C15,300,Oesophagus,2,43,31,59,43,0.23,0.82,0.02
7,C16,300,Stomach,2,460,386,548,460,2.4,8.8,0.25
41,C18-C21,300,Colorectum,2,1657,-,-,1657,7.8,31.6,0.77
11,C22,300,Liver and intrahepatic bile ducts,2,504,430,590,504,2.4,9.6,0.24
12,C23,300,Gallbladder,2,34,23,50,34,0.17,0.65,0.02
13,C25,300,Pancreas,2,1025,917,1146,1025,5.6,19.5,0.64
14,C32,300,Larynx,2,26,18,38,26,0.16,0.50,0.02
15,C33-34,300,"Trachea, bronchus and lung",2,1739,1606,1883,1739,11.5,33.1,1.4
16,C43,300,Melanoma of skin,2,114,78,167,114,0.69,2.2,0.07
17,C44,300,Non-melanoma skin cancer,2,62,48,80,62,0.18,1.2,0.01
18,C45,300,Mesothelioma,2,24,12,49,24,0.16,0.46,0.02
19,C46,300,Kaposi sarcoma,2,3,1,7,3,0.01,0.06,0.00
20,C50,300,Breast,2,2431,2252,2624,2431,14.7,46.3,1.6
21,C51,300,Vulva,2,91,71,117,91,0.36,1.7,0.03
22,C52,300,Vagina,2,8,3,19,8,0.05,0.15,0.01
23,C53,300,Cervix uteri,2,260,209,324,260,2.2,5.0,0.24
24,C54,300,Corpus uteri,2,407,320,517,407,2.5,7.8,0.29
25,C56,300,Ovary,2,681,597,777,681,4.6,13.0,0.52
29,C64,300,Kidney,2,234,190,289,234,1.2,4.5,0.12
30,C67,300,Bladder,2,284,230,350,284,1.2,5.4,0.12
31,C70-72,300," Brain, central nervous system",2,452,391,522,452,3.5,8.6,0.37
32,C73,300,Thyroid,2,43,32,59,43,0.23,0.82,0.03
33,C81,300,Hodgkin lymphoma,2,15,11,21,15,0.14,0.29,0.01
34,C82-86+C88,300,Non-Hodgkin lymphoma,2,270,234,312,270,1.3,5.1,0.13
35,C90,300,Multiple myeloma,2,277,226,340,277,1.3,5.3,0.15
36,C91-95,300,Leukaemia,2,595,510,694,595,3.2,11.3,0.30
