Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,320,All cancers,2,5825,5662,5993,5825,73.6,61.8,7.9
1,C00-06,320,"Lip, oral cavity",2,40,15,105,40,0.45,0.42,0.03
2,C07-08,320,Salivary glands,2,5,1,35,5,0.07,0.05,0.01
3,C09-10,320,Oropharynx,2,10,2,53,10,0.11,0.11,0.01
4,C11,320,Nasopharynx,2,4,0,35,4,0.05,0.04,0.01
5,C12-13,320,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,320,Oesophagus,2,53,31,90,53,0.65,0.56,0.07
7,C16,320,Stomach,2,915,814,1028,915,11.3,9.7,1.2
41,C18-C21,320,Colorectum,2,289,-,-,289,3.6,3.1,0.37
11,C22,320,Liver and intrahepatic bile ducts,2,1078,973,1194,1078,14.3,11.4,1.7
12,C23,320,Gallbladder,2,29,17,49,29,0.37,0.31,0.04
13,C25,320,Pancreas,2,160,118,217,160,2.0,1.7,0.23
14,C32,320,Larynx,2,14,5,38,14,0.18,0.15,0.02
15,C33-34,320,"Trachea, bronchus and lung",2,237,193,291,237,3.0,2.5,0.33
16,C43,320,Melanoma of skin,2,12,6,24,12,0.15,0.13,0.02
17,C44,320,Non-melanoma skin cancer,2,83,55,124,83,0.91,0.88,0.08
18,C45,320,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,320,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,320,Breast,2,532,462,612,532,6.8,5.7,0.74
21,C51,320,Vulva,2,8,2,30,8,0.10,0.08,0.01
22,C52,320,Vagina,2,7,2,29,7,0.08,0.07,0.01
23,C53,320,Cervix uteri,2,973,860,1100,973,12.5,10.3,1.4
24,C54,320,Corpus uteri,2,43,23,81,43,0.58,0.46,0.07
25,C56,320,Ovary,2,153,113,207,153,2.0,1.6,0.23
29,C64,320,Kidney,2,59,41,85,59,0.78,0.63,0.10
30,C67,320,Bladder,2,26,12,54,26,0.33,0.28,0.04
31,C70-72,320," Brain, central nervous system",2,121,85,172,121,1.5,1.3,0.16
32,C73,320,Thyroid,2,52,34,78,52,0.70,0.55,0.09
33,C81,320,Hodgkin lymphoma,2,11,5,22,11,0.14,0.12,0.02
34,C82-86+C88,320,Non-Hodgkin lymphoma,2,100,66,151,100,1.3,1.1,0.17
35,C90,320,Multiple myeloma,2,25,9,66,25,0.34,0.27,0.05
36,C91-95,320,Leukaemia,2,318,261,388,318,3.6,3.4,0.33
