Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,332,All cancers,2,4419,4235,4611,4419,82.6,74.7,7.4
1,C00-06,332,"Lip, oral cavity",2,19,1,243,19,0.33,0.32,0.02
2,C07-08,332,Salivary glands,2,21,4,123,21,0.38,0.36,0.02
3,C09-10,332,Oropharynx,2,25,1,421,25,0.46,0.42,0.04
4,C11,332,Nasopharynx,2,4,0,67,4,0.08,0.07,0.01
5,C12-13,332,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,332,Oesophagus,2,88,54,143,88,1.7,1.5,0.22
7,C16,332,Stomach,2,326,257,414,326,5.7,5.5,0.39
41,C18-C21,332,Colorectum,2,435,-,-,435,8.1,7.4,0.81
11,C22,332,Liver and intrahepatic bile ducts,2,339,265,433,339,6.4,5.7,0.63
12,C23,332,Gallbladder,2,30,15,61,30,0.65,0.51,0.08
13,C25,332,Pancreas,2,135,97,189,135,2.6,2.3,0.22
14,C32,332,Larynx,2,28,15,51,28,0.51,0.47,0.04
15,C33-34,332,"Trachea, bronchus and lung",2,287,228,360,287,5.7,4.9,0.64
16,C43,332,Melanoma of skin,2,10,1,168,10,0.19,0.17,0.02
17,C44,332,Non-melanoma skin cancer,2,23,8,64,23,0.45,0.39,0.04
18,C45,332,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,332,Kaposi sarcoma,2,4,0,67,4,0.08,0.07,0.01
20,C50,332,Breast,2,754,640,888,754,14.3,12.8,1.5
21,C51,332,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,332,Vagina,2,12,3,49,12,0.23,0.20,0.02
23,C53,332,Cervix uteri,2,451,351,579,451,8.6,7.6,0.76
24,C54,332,Corpus uteri,2,53,24,116,53,1.1,0.90,0.13
25,C56,332,Ovary,2,170,115,252,170,3.1,2.9,0.33
29,C64,332,Kidney,2,37,18,78,37,0.58,0.63,0.02
30,C67,332,Bladder,2,57,32,101,57,0.99,0.96,0.07
31,C70-72,332," Brain, central nervous system",2,17,7,43,17,0.35,0.29,0.04
32,C73,332,Thyroid,2,12,3,42,12,0.23,0.20,0.02
33,C81,332,Hodgkin lymphoma,2,14,2,122,14,0.26,0.24,0.02
34,C82-86+C88,332,Non-Hodgkin lymphoma,2,73,37,144,73,1.3,1.2,0.08
35,C90,332,Multiple myeloma,2,61,26,146,61,1.2,1.0,0.14
36,C91-95,332,Leukaemia,2,137,92,204,137,2.4,2.3,0.17
