Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,376,All cancers,2,6355,6189,6525,6355,75.5,142.0,7.4
1,C00-06,376,"Lip, oral cavity",2,32,16,63,32,0.34,0.72,0.03
2,C07-08,376,Salivary glands,2,14,4,48,14,0.17,0.31,0.02
3,C09-10,376,Oropharynx,2,3,0,25,3,0.03,0.07,0.01
4,C11,376,Nasopharynx,2,3,0,25,3,0.03,0.07,0.00
5,C12-13,376,Hypopharynx,2,2,0,16,2,0.02,0.04,0.00
6,C15,376,Oesophagus,2,48,28,83,48,0.51,1.1,0.05
7,C16,376,Stomach,2,227,173,298,227,2.8,5.1,0.29
41,C18-C21,376,Colorectum,2,690,-,-,690,7.4,15.4,0.64
11,C22,376,Liver and intrahepatic bile ducts,2,150,113,199,150,1.7,3.4,0.17
12,C23,376,Gallbladder,2,28,10,75,28,0.33,0.63,0.04
13,C25,376,Pancreas,2,536,453,634,536,6.1,12.0,0.68
14,C32,376,Larynx,2,13,4,48,13,0.17,0.29,0.02
15,C33-34,376,"Trachea, bronchus and lung",2,740,646,848,740,8.9,16.5,1.0
16,C43,376,Melanoma of skin,2,92,63,134,92,0.99,2.1,0.09
17,C44,376,Non-melanoma skin cancer,2,74,44,125,74,0.53,1.7,0.03
18,C45,376,Mesothelioma,2,7,2,28,7,0.07,0.16,0.01
19,C46,376,Kaposi sarcoma,2,5,1,33,5,0.04,0.11,0.00
20,C50,376,Breast,2,1207,1087,1340,1207,16.2,27.0,1.7
21,C51,376,Vulva,2,34,15,75,34,0.35,0.76,0.03
22,C52,376,Vagina,2,6,2,20,6,0.06,0.13,0.01
23,C53,376,Cervix uteri,2,142,107,189,142,2.2,3.2,0.25
24,C54,376,Corpus uteri,2,200,152,263,200,2.3,4.5,0.26
25,C56,376,Ovary,2,353,287,435,353,4.9,7.9,0.58
29,C64,376,Kidney,2,95,65,140,95,1.1,2.1,0.10
30,C67,376,Bladder,2,112,80,157,112,0.92,2.5,0.06
31,C70-72,376," Brain, central nervous system",2,195,147,258,195,3.0,4.4,0.33
32,C73,376,Thyroid,2,44,25,76,44,0.50,0.98,0.05
33,C81,376,Hodgkin lymphoma,2,15,3,67,15,0.19,0.34,0.02
34,C82-86+C88,376,Non-Hodgkin lymphoma,2,260,201,335,260,2.8,5.8,0.27
35,C90,376,Multiple myeloma,2,144,106,195,144,1.6,3.2,0.18
36,C91-95,376,Leukaemia,2,263,204,339,263,2.9,5.9,0.26
