Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,392,All cancers,2,185455,184551,186364,185455,61.3,288.5,5.8
1,C00-06,392,"Lip, oral cavity",2,1958,1809,2119,1958,0.47,3.1,0.03
2,C07-08,392,Salivary glands,2,230,178,297,230,0.09,0.36,0.01
3,C09-10,392,Oropharynx,2,216,165,282,216,0.08,0.34,0.01
4,C11,392,Nasopharynx,2,102,70,150,102,0.04,0.16,0.00
5,C12-13,392,Hypopharynx,2,182,137,242,182,0.09,0.28,0.01
6,C15,392,Oesophagus,2,2336,2154,2533,2336,0.89,3.6,0.10
7,C16,392,Stomach,2,16182,15774,16601,16182,4.4,25.2,0.37
41,C18-C21,392,Colorectum,2,29408,-,-,29408,8.8,45.7,0.80
11,C22,392,Liver and intrahepatic bile ducts,2,9195,8793,9615,9195,2.1,14.3,0.15
12,C23,392,Gallbladder,2,4322,4064,4596,4322,1.1,6.7,0.10
13,C25,392,Pancreas,2,22510,21825,23216,22510,6.6,35.0,0.67
14,C32,392,Larynx,2,71,49,102,71,0.02,0.11,0.00
15,C33-34,392,"Trachea, bronchus and lung",2,26338,25788,26900,26338,7.1,41.0,0.68
16,C43,392,Melanoma of skin,2,369,300,454,369,0.16,0.57,0.02
17,C44,392,Non-melanoma skin cancer,2,655,557,770,655,0.14,1.0,0.01
18,C45,392,Mesothelioma,2,294,234,370,294,0.10,0.46,0.01
19,C46,392,Kaposi sarcoma,2,1,0,8,1,0.00,0.00,0.00
20,C50,392,Breast,2,17638,17107,18186,17638,9.7,27.4,1.1
21,C51,392,Vulva,2,328,262,410,328,0.09,0.51,0.01
22,C52,392,Vagina,2,170,126,230,170,0.06,0.26,0.01
23,C53,392,Cervix uteri,2,3864,3676,4062,3864,2.6,6.0,0.27
24,C54,392,Corpus uteri,2,3630,3404,3871,3630,1.9,5.7,0.22
25,C56,392,Ovary,2,5301,5030,5586,5301,3.0,8.3,0.33
29,C64,392,Kidney,2,2465,2293,2650,2465,0.69,3.8,0.06
30,C67,392,Bladder,2,3707,3460,3972,3707,0.75,5.8,0.05
31,C70-72,392," Brain, central nervous system",2,1495,1351,1655,1495,1.1,2.3,0.10
32,C73,392,Thyroid,2,1527,1375,1696,1527,0.38,2.4,0.03
33,C81,392,Hodgkin lymphoma,2,76,48,121,76,0.02,0.12,0.00
34,C82-86+C88,392,Non-Hodgkin lymphoma,2,6966,6638,7310,6966,1.9,10.8,0.17
35,C90,392,Multiple myeloma,2,2397,2233,2573,2397,0.60,3.7,0.05
36,C91-95,392,Leukaemia,2,4026,3784,4283,4026,1.7,6.3,0.16
