Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,428,All cancers,2,2712,2589,2841,2712,89.5,272.4,9.9
1,C00-06,428,"Lip, oral cavity",2,22,14,36,22,0.81,2.2,0.10
2,C07-08,428,Salivary glands,2,7,3,16,7,0.15,0.70,0.02
3,C09-10,428,Oropharynx,2,8,3,24,8,0.36,0.80,0.05
4,C11,428,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,428,Hypopharynx,2,2,1,7,2,0.08,0.20,0.01
6,C15,428,Oesophagus,2,33,20,54,33,1.3,3.3,0.17
7,C16,428,Stomach,2,160,129,198,160,5.2,16.1,0.59
41,C18-C21,428,Colorectum,2,316,-,-,316,8.4,31.7,0.97
11,C22,428,Liver and intrahepatic bile ducts,2,65,40,105,65,2.0,6.5,0.24
12,C23,428,Gallbladder,2,19,10,36,19,0.61,1.9,0.08
13,C25,428,Pancreas,2,226,169,302,226,6.6,22.7,0.78
14,C32,428,Larynx,2,6,2,17,6,0.18,0.60,0.02
15,C33-34,428,"Trachea, bronchus and lung",2,216,176,265,216,6.9,21.7,0.85
16,C43,428,Melanoma of skin,2,36,26,50,36,1.0,3.6,0.12
17,C44,428,Non-melanoma skin cancer,2,34,22,51,34,0.54,3.4,0.03
18,C45,428,Mesothelioma,2,4,1,13,4,0.15,0.40,0.02
19,C46,428,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,428,Breast,2,430,354,523,430,16.3,43.2,1.9
21,C51,428,Vulva,2,38,25,58,38,1.0,3.8,0.12
22,C52,428,Vagina,2,8,3,21,8,0.20,0.80,0.02
23,C53,428,Cervix uteri,2,113,82,156,113,6.0,11.4,0.67
24,C54,428,Corpus uteri,2,140,103,190,140,3.9,14.1,0.49
25,C56,428,Ovary,2,180,146,222,180,7.3,18.1,0.87
29,C64,428,Kidney,2,88,63,123,88,2.0,8.8,0.21
30,C67,428,Bladder,2,49,37,65,49,1.0,4.9,0.10
31,C70-72,428," Brain, central nervous system",2,83,66,105,83,4.1,8.3,0.43
32,C73,428,Thyroid,2,16,10,26,16,0.33,1.6,0.03
33,C81,428,Hodgkin lymphoma,2,4,2,9,4,0.38,0.40,0.03
34,C82-86+C88,428,Non-Hodgkin lymphoma,2,61,47,80,61,1.8,6.1,0.22
35,C90,428,Multiple myeloma,2,44,32,61,44,1.4,4.4,0.17
36,C91-95,428,Leukaemia,2,94,69,128,94,2.7,9.4,0.29
