Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,422,All cancers,2,3357,3205,3516,3357,85.8,101.3,9.3
1,C00-06,422,"Lip, oral cavity",2,15,10,22,15,0.36,0.45,0.04
2,C07-08,422,Salivary glands,2,8,4,14,8,0.23,0.24,0.03
3,C09-10,422,Oropharynx,2,1,0,3,1,0.03,0.03,0.00
4,C11,422,Nasopharynx,2,6,3,13,6,0.17,0.18,0.02
5,C12-13,422,Hypopharynx,2,1,0,15,1,0.02,0.03,0.00
6,C15,422,Oesophagus,2,14,4,49,14,0.35,0.42,0.04
7,C16,422,Stomach,2,72,46,113,72,1.8,2.2,0.21
41,C18-C21,422,Colorectum,2,218,-,-,218,5.3,6.6,0.57
11,C22,422,Liver and intrahepatic bile ducts,2,78,49,123,78,2.0,2.4,0.24
12,C23,422,Gallbladder,2,24,14,42,24,0.57,0.72,0.06
13,C25,422,Pancreas,2,121,84,175,121,3.1,3.7,0.38
14,C32,422,Larynx,2,28,17,45,28,0.75,0.84,0.10
15,C33-34,422,"Trachea, bronchus and lung",2,503,409,619,503,12.7,15.2,1.5
16,C43,422,Melanoma of skin,2,12,10,14,12,0.29,0.36,0.03
17,C44,422,Non-melanoma skin cancer,2,40,35,46,40,0.81,1.2,0.06
18,C45,422,Mesothelioma,2,4,0,59,4,0.10,0.12,0.01
19,C46,422,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,422,Breast,2,781,755,808,781,20.4,23.6,2.3
21,C51,422,Vulva,2,24,17,34,24,0.57,0.72,0.07
22,C52,422,Vagina,2,10,3,31,10,0.21,0.30,0.02
23,C53,422,Cervix uteri,2,93,71,122,93,2.3,2.8,0.23
24,C54,422,Corpus uteri,2,86,80,92,86,2.2,2.6,0.28
25,C56,422,Ovary,2,171,138,211,171,4.6,5.2,0.56
29,C64,422,Kidney,2,45,34,59,45,1.2,1.4,0.14
30,C67,422,Bladder,2,86,72,102,86,2.0,2.6,0.21
31,C70-72,422," Brain, central nervous system",2,101,69,148,101,2.8,3.1,0.31
32,C73,422,Thyroid,2,37,36,38,37,0.92,1.1,0.11
33,C81,422,Hodgkin lymphoma,2,25,22,28,25,0.64,0.75,0.07
34,C82-86+C88,422,Non-Hodgkin lymphoma,2,162,140,188,162,4.0,4.9,0.45
35,C90,422,Multiple myeloma,2,75,50,113,75,1.9,2.3,0.25
36,C91-95,422,Leukaemia,2,146,114,187,146,3.9,4.4,0.40
