Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,458,All cancers,2,14653,14331,14982,14653,79.9,90.8,8.2
1,C00-06,458,"Lip, oral cavity",2,207,14,3045,207,1.1,1.3,0.11
2,C07-08,458,Salivary glands,2,26,2,382,26,0.14,0.16,0.02
3,C09-10,458,Oropharynx,2,18,16,21,18,0.09,0.11,0.01
4,C11,458,Nasopharynx,2,322,171,605,322,1.8,2.0,0.21
5,C12-13,458,Hypopharynx,2,28,14,57,28,0.15,0.17,0.02
6,C15,458,Oesophagus,2,108,7,1589,108,0.58,0.67,0.06
7,C16,458,Stomach,2,366,294,456,366,2.0,2.3,0.21
41,C18-C21,458,Colorectum,2,1711,-,-,1711,9.1,10.6,0.90
11,C22,458,Liver and intrahepatic bile ducts,2,607,217,1700,607,3.3,3.8,0.36
12,C23,458,Gallbladder,2,143,10,2104,143,0.79,0.89,0.10
13,C25,458,Pancreas,2,459,187,1127,459,2.5,2.8,0.33
14,C32,458,Larynx,2,31,24,39,31,0.16,0.19,0.01
15,C33-34,458,"Trachea, bronchus and lung",2,1092,912,1308,1092,5.9,6.8,0.70
16,C43,458,Melanoma of skin,2,37,31,45,37,0.19,0.23,0.01
17,C44,458,Non-melanoma skin cancer,2,78,67,91,78,0.42,0.48,0.04
18,C45,458,Mesothelioma,2,10,1,83,10,0.05,0.06,0.01
19,C46,458,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,458,Breast,2,3526,3038,4092,3526,19.3,21.8,2.1
21,C51,458,Vulva,2,14,13,15,14,0.07,0.09,0.01
22,C52,458,Vagina,2,19,16,22,19,0.11,0.12,0.00
23,C53,458,Cervix uteri,2,1018,865,1199,1018,5.5,6.3,0.57
24,C54,458,Corpus uteri,2,458,360,583,458,2.5,2.8,0.29
25,C56,458,Ovary,2,1167,797,1708,1167,6.5,7.2,0.75
29,C64,458,Kidney,2,248,95,647,248,1.3,1.5,0.10
30,C67,458,Bladder,2,110,80,152,110,0.57,0.68,0.04
31,C70-72,458," Brain, central nervous system",2,346,24,5090,346,2.0,2.1,0.19
32,C73,458,Thyroid,2,95,91,99,95,0.50,0.59,0.05
33,C81,458,Hodgkin lymphoma,2,31,2,456,31,0.17,0.19,0.01
34,C82-86+C88,458,Non-Hodgkin lymphoma,2,561,381,827,561,3.1,3.5,0.34
35,C90,458,Multiple myeloma,2,124,110,140,124,0.65,0.77,0.07
36,C91-95,458,Leukaemia,2,694,247,1950,694,4.0,4.3,0.37
