Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,470,All cancers,2,466,412,527,466,69.7,210.7,7.4
1,C00-06,470,"Lip, oral cavity",2,6,3,14,6,0.52,2.7,0.04
2,C07-08,470,Salivary glands,2,1,0,10,1,0.07,0.45,0.00
3,C09-10,470,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,470,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,470,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,470,Oesophagus,2,4,1,11,4,0.49,1.8,0.07
7,C16,470,Stomach,2,17,10,29,17,2.0,7.7,0.21
41,C18-C21,470,Colorectum,2,69,-,-,69,9.0,31.2,0.92
11,C22,470,Liver and intrahepatic bile ducts,2,11,5,22,11,1.4,5.0,0.17
12,C23,470,Gallbladder,2,2,0,13,2,0.21,0.90,0.04
13,C25,470,Pancreas,2,48,34,67,48,7.0,21.7,0.81
14,C32,470,Larynx,2,1,0,10,1,0.14,0.45,0.04
15,C33-34,470,"Trachea, bronchus and lung",2,43,31,60,43,8.6,19.4,1.0
16,C43,470,Melanoma of skin,2,4,2,11,4,0.57,1.8,0.07
17,C44,470,Non-melanoma skin cancer,2,1,0,10,1,0.07,0.45,0.00
18,C45,470,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,470,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,470,Breast,2,81,56,117,81,13.8,36.6,1.5
21,C51,470,Vulva,2,5,2,17,5,0.59,2.3,0.07
22,C52,470,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,470,Cervix uteri,2,6,2,16,6,1.4,2.7,0.15
24,C54,470,Corpus uteri,2,20,12,32,20,2.9,9.0,0.39
25,C56,470,Ovary,2,37,26,54,37,5.9,16.7,0.63
29,C64,470,Kidney,2,7,4,14,7,0.93,3.2,0.10
30,C67,470,Bladder,2,10,4,23,10,1.2,4.5,0.14
31,C70-72,470," Brain, central nervous system",2,13,6,27,13,2.7,5.9,0.32
32,C73,470,Thyroid,2,3,1,9,3,0.23,1.4,0.00
33,C81,470,Hodgkin lymphoma,2,1,0,5,1,0.14,0.45,0.04
34,C82-86+C88,470,Non-Hodgkin lymphoma,2,14,8,25,14,1.9,6.3,0.21
35,C90,470,Multiple myeloma,2,9,4,19,9,1.1,4.1,0.10
36,C91-95,470,Leukaemia,2,11,6,22,11,1.3,5.0,0.14
