Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,478,All cancers,2,1326,1232,1428,1326,82.6,54.4,8.9
1,C00-06,478,"Lip, oral cavity",2,16,4,71,16,1.2,0.66,0.13
2,C07-08,478,Salivary glands,2,10,1,147,10,0.61,0.41,0.07
3,C09-10,478,Oropharynx,2,1,0,15,1,0.08,0.04,0.01
4,C11,478,Nasopharynx,2,4,0,59,4,0.21,0.16,0.02
5,C12-13,478,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,478,Oesophagus,2,21,1,309,21,1.5,0.86,0.16
7,C16,478,Stomach,2,67,14,316,67,4.5,2.8,0.50
41,C18-C21,478,Colorectum,2,64,-,-,64,4.1,2.6,0.46
11,C22,478,Liver and intrahepatic bile ducts,2,114,61,214,114,7.2,4.7,0.79
12,C23,478,Gallbladder,2,12,1,177,12,0.71,0.49,0.09
13,C25,478,Pancreas,2,18,1,265,18,1.2,0.74,0.13
14,C32,478,Larynx,2,4,0,59,4,0.25,0.16,0.03
15,C33-34,478,"Trachea, bronchus and lung",2,17,1,250,17,1.1,0.70,0.14
16,C43,478,Melanoma of skin,2,5,0,74,5,0.40,0.21,0.07
17,C44,478,Non-melanoma skin cancer,2,15,9,24,15,1.0,0.62,0.13
18,C45,478,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,478,Kaposi sarcoma,2,7,0,103,7,0.32,0.29,0.03
20,C50,478,Breast,2,315,251,396,315,18.5,12.9,2.0
21,C51,478,Vulva,2,7,0,103,7,0.38,0.29,0.04
22,C52,478,Vagina,2,3,1,9,3,0.20,0.12,0.03
23,C53,478,Cervix uteri,2,302,188,486,302,19.5,12.4,2.2
24,C54,478,Corpus uteri,2,14,8,25,14,1.0,0.57,0.12
25,C56,478,Ovary,2,58,25,134,58,3.8,2.4,0.45
29,C64,478,Kidney,2,13,3,53,13,0.69,0.53,0.07
30,C67,478,Bladder,2,17,1,250,17,1.2,0.70,0.13
31,C70-72,478," Brain, central nervous system",2,16,1,235,16,1.0,0.66,0.11
32,C73,478,Thyroid,2,6,1,25,6,0.42,0.25,0.05
33,C81,478,Hodgkin lymphoma,2,3,0,44,3,0.12,0.12,0.01
34,C82-86+C88,478,Non-Hodgkin lymphoma,2,27,17,44,27,1.5,1.1,0.16
35,C90,478,Multiple myeloma,2,11,1,162,11,0.79,0.45,0.11
36,C91-95,478,Leukaemia,2,17,4,80,17,0.95,0.70,0.10
