Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,964,All cancers,2,640,538,762,640,89.3,103.4,9.9
1,C00-06,964,"Lip, oral cavity",2,1,0,15,1,0.12,0.16,0.00
2,C07-08,964,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,964,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,964,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,964,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,964,Oesophagus,2,1,0,15,1,0.15,0.16,0.02
7,C16,964,Stomach,2,35,17,74,35,4.8,5.7,0.63
41,C18-C21,964,Colorectum,2,49,-,-,49,6.5,7.9,0.71
11,C22,964,Liver and intrahepatic bile ducts,2,26,11,62,26,3.6,4.2,0.40
12,C23,964,Gallbladder,2,3,0,18,3,0.36,0.48,0.04
13,C25,964,Pancreas,2,22,9,55,22,2.9,3.6,0.33
14,C32,964,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,964,"Trachea, bronchus and lung",2,126,83,191,126,17.2,20.4,2.1
16,C43,964,Melanoma of skin,2,1,0,15,1,0.15,0.16,0.02
17,C44,964,Non-melanoma skin cancer,2,0,0,0,0,0.00,0.00,0.00
18,C45,964,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,964,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,964,Breast,2,152,107,217,152,21.5,24.6,2.2
21,C51,964,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,964,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,964,Cervix uteri,2,50,23,108,50,7.5,8.1,0.86
24,C54,964,Corpus uteri,2,28,13,61,28,4.1,4.5,0.53
25,C56,964,Ovary,2,42,20,87,42,6.2,6.8,0.79
29,C64,964,Kidney,2,3,0,27,3,0.35,0.48,0.00
30,C67,964,Bladder,2,5,1,28,5,0.60,0.81,0.06
31,C70-72,964," Brain, central nervous system",2,3,0,18,3,0.44,0.48,0.06
32,C73,964,Thyroid,2,7,2,25,7,1.0,1.1,0.15
33,C81,964,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,964,Non-Hodgkin lymphoma,2,13,4,40,13,1.7,2.1,0.17
35,C90,964,Multiple myeloma,2,11,3,37,11,1.5,1.8,0.19
36,C91-95,964,Leukaemia,2,10,3,35,10,1.5,1.6,0.20
