Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,499,All cancers,2,688,623,760,688,98.8,216.8,10.7
1,C00-06,499,"Lip, oral cavity",2,5,3,10,5,0.67,1.6,0.05
2,C07-08,499,Salivary glands,2,2,0,10,2,0.22,0.63,0.03
3,C09-10,499,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,499,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,499,Hypopharynx,2,1,0,10,1,0.19,0.32,0.02
6,C15,499,Oesophagus,2,5,2,12,5,0.93,1.6,0.13
7,C16,499,Stomach,2,13,7,23,13,1.7,4.1,0.19
41,C18-C21,499,Colorectum,2,62,-,-,62,8.4,19.5,0.97
11,C22,499,Liver and intrahepatic bile ducts,2,28,15,52,28,3.5,8.8,0.38
12,C23,499,Gallbladder,2,5,2,12,5,0.64,1.6,0.08
13,C25,499,Pancreas,2,31,22,44,31,4.4,9.8,0.51
14,C32,499,Larynx,2,8,2,26,8,0.87,2.5,0.08
15,C33-34,499,"Trachea, bronchus and lung",2,99,78,126,99,15.4,31.2,1.9
16,C43,499,Melanoma of skin,2,15,7,31,15,2.4,4.7,0.30
17,C44,499,Non-melanoma skin cancer,2,7,2,26,7,0.60,2.2,0.03
18,C45,499,Mesothelioma,2,1,0,10,1,0.13,0.32,0.03
19,C46,499,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,499,Breast,2,154,126,189,154,23.3,48.5,2.6
21,C51,499,Vulva,2,1,0,2,1,0.15,0.32,0.03
22,C52,499,Vagina,2,1,0,10,1,0.13,0.32,0.03
23,C53,499,Cervix uteri,2,32,23,45,32,6.3,10.1,0.68
24,C54,499,Corpus uteri,2,25,17,37,25,3.7,7.9,0.42
25,C56,499,Ovary,2,27,18,40,27,3.7,8.5,0.46
29,C64,499,Kidney,2,11,3,42,11,1.3,3.5,0.14
30,C67,499,Bladder,2,12,4,33,12,1.2,3.8,0.11
31,C70-72,499," Brain, central nervous system",2,29,16,52,29,4.2,9.1,0.44
32,C73,499,Thyroid,2,2,0,20,2,0.30,0.63,0.05
33,C81,499,Hodgkin lymphoma,2,4,0,40,4,0.49,1.3,0.05
34,C82-86+C88,499,Non-Hodgkin lymphoma,2,14,6,30,14,2.1,4.4,0.24
35,C90,499,Multiple myeloma,2,7,3,15,7,0.98,2.2,0.11
36,C91-95,499,Leukaemia,2,15,9,24,15,2.2,4.7,0.18
