Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,524,All cancers,2,7768,7535,8009,7768,52.5,48.0,5.7
1,C00-06,524,"Lip, oral cavity",2,137,136,138,137,0.95,0.85,0.11
2,C07-08,524,Salivary glands,2,10,10,10,10,0.07,0.06,0.01
3,C09-10,524,Oropharynx,2,12,12,12,12,0.08,0.07,0.01
4,C11,524,Nasopharynx,2,4,4,4,4,0.03,0.02,0.00
5,C12-13,524,Hypopharynx,2,9,9,9,9,0.06,0.06,0.01
6,C15,524,Oesophagus,2,89,88,90,89,0.63,0.55,0.08
7,C16,524,Stomach,2,577,551,604,577,3.9,3.6,0.45
41,C18-C21,524,Colorectum,2,299,-,-,299,2.0,1.9,0.21
11,C22,524,Liver and intrahepatic bile ducts,2,127,123,131,127,0.88,0.78,0.11
12,C23,524,Gallbladder,2,601,545,663,601,4.1,3.7,0.47
13,C25,524,Pancreas,2,201,169,239,201,1.4,1.2,0.17
14,C32,524,Larynx,2,80,74,87,80,0.56,0.49,0.07
15,C33-34,524,"Trachea, bronchus and lung",2,818,762,878,818,5.7,5.1,0.65
16,C43,524,Melanoma of skin,2,6,6,6,6,0.04,0.04,0.00
17,C44,524,Non-melanoma skin cancer,2,49,47,51,49,0.33,0.30,0.04
18,C45,524,Mesothelioma,2,3,3,3,3,0.03,0.02,0.00
19,C46,524,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,524,Breast,2,1149,1146,1152,1149,7.6,7.1,0.78
21,C51,524,Vulva,2,13,13,13,13,0.08,0.08,0.01
22,C52,524,Vagina,2,20,20,20,20,0.13,0.12,0.01
23,C53,524,Cervix uteri,2,1313,1305,1321,1313,8.7,8.1,0.97
24,C54,524,Corpus uteri,2,95,94,96,95,0.63,0.59,0.07
25,C56,524,Ovary,2,452,448,456,452,3.0,2.8,0.36
29,C64,524,Kidney,2,24,24,24,24,0.16,0.15,0.02
30,C67,524,Bladder,2,51,49,53,51,0.35,0.31,0.04
31,C70-72,524," Brain, central nervous system",2,83,81,85,83,0.55,0.51,0.06
32,C73,524,Thyroid,2,53,53,53,53,0.36,0.33,0.04
33,C81,524,Hodgkin lymphoma,2,25,24,26,25,0.15,0.15,0.01
34,C82-86+C88,524,Non-Hodgkin lymphoma,2,147,143,151,147,0.99,0.91,0.11
35,C90,524,Multiple myeloma,2,53,51,55,53,0.37,0.33,0.04
36,C91-95,524,Leukaemia,2,246,240,252,246,1.6,1.5,0.17
