Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,566,All cancers,1,32905,32421,33396,32905,68.4,30.0,7.4
1,C00-06,566,"Lip, oral cavity",1,554,484,635,554,1.3,0.50,0.14
2,C07-08,566,Salivary glands,1,277,232,331,277,0.62,0.25,0.07
3,C09-10,566,Oropharynx,1,88,67,115,88,0.15,0.08,0.02
4,C11,566,Nasopharynx,1,754,658,864,754,1.4,0.69,0.18
5,C12-13,566,Hypopharynx,1,37,20,68,37,0.06,0.03,0.01
6,C15,566,Oesophagus,1,306,224,418,306,0.65,0.28,0.06
7,C16,566,Stomach,1,718,599,860,718,1.4,0.65,0.17
41,C18-C21,566,Colorectum,1,3279,-,-,3279,6.5,3.0,0.79
11,C22,566,Liver and intrahepatic bile ducts,1,2424,2160,2720,2424,4.7,2.2,0.47
12,C23,566,Gallbladder,1,107,63,182,107,0.27,0.10,0.02
13,C25,566,Pancreas,1,714,585,871,714,1.5,0.65,0.18
14,C32,566,Larynx,1,465,400,541,465,0.93,0.42,0.12
15,C33-34,566,"Trachea, bronchus and lung",1,768,632,933,768,1.8,0.70,0.20
16,C43,566,Melanoma of skin,1,91,74,111,91,0.21,0.08,0.02
17,C44,566,Non-melanoma skin cancer,1,634,592,679,634,1.3,0.58,0.16
18,C45,566,Mesothelioma,1,57,26,126,57,0.08,0.05,0.01
19,C46,566,Kaposi sarcoma,1,504,467,544,504,0.57,0.46,0.05
26,C60,566,Penis,1,13,6,26,13,0.01,0.01,0.00
27,C61,566,Prostate,1,11443,11185,11707,11443,27.9,10.4,3.1
28,C62,566,Testis,1,489,441,542,489,0.75,0.45,0.08
29,C64,566,Kidney,1,510,448,581,510,0.64,0.46,0.06
30,C67,566,Bladder,1,539,484,600,539,1.3,0.49,0.12
31,C70-72,566," Brain, central nervous system",1,727,619,854,727,1.1,0.66,0.11
32,C73,566,Thyroid,1,73,55,97,73,0.18,0.07,0.02
33,C81,566,Hodgkin lymphoma,1,513,473,556,513,0.85,0.47,0.09
34,C82-86+C88,566,Non-Hodgkin lymphoma,1,1306,1195,1427,1306,2.5,1.2,0.24
35,C90,566,Multiple myeloma,1,438,345,556,438,0.95,0.40,0.10
36,C91-95,566,Leukaemia,1,890,766,1034,890,1.7,0.81,0.21
