Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,578,All cancers,2,6538,6323,6760,6538,83.5,240.2,8.2
1,C00-06,578,"Lip, oral cavity",2,56,39,80,56,0.68,2.1,0.07
2,C07-08,578,Salivary glands,2,7,3,16,7,0.07,0.26,0.01
3,C09-10,578,Oropharynx,2,10,4,22,10,0.17,0.37,0.02
4,C11,578,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,578,Hypopharynx,2,1,0,3,1,0.02,0.04,0.00
6,C15,578,Oesophagus,2,72,55,95,72,0.88,2.6,0.10
7,C16,578,Stomach,2,135,99,185,135,1.8,5.0,0.18
41,C18-C21,578,Colorectum,2,1122,-,-,1122,12.5,41.2,1.1
11,C22,578,Liver and intrahepatic bile ducts,2,163,120,222,163,2.3,6.0,0.24
12,C23,578,Gallbladder,2,22,13,38,22,0.27,0.81,0.03
13,C25,578,Pancreas,2,519,451,598,519,6.5,19.1,0.69
14,C32,578,Larynx,2,9,4,19,9,0.12,0.33,0.01
15,C33-34,578,"Trachea, bronchus and lung",2,1240,1132,1358,1240,16.6,45.6,1.9
16,C43,578,Melanoma of skin,2,154,122,194,154,1.8,5.7,0.16
17,C44,578,Non-melanoma skin cancer,2,41,27,62,41,0.33,1.5,0.01
18,C45,578,Mesothelioma,2,13,6,27,13,0.19,0.48,0.02
19,C46,578,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,578,Breast,2,765,660,887,765,11.0,28.1,1.1
21,C51,578,Vulva,2,45,31,66,45,0.48,1.7,0.04
22,C52,578,Vagina,2,3,1,9,3,0.02,0.11,0.00
23,C53,578,Cervix uteri,2,104,62,174,104,1.7,3.8,0.17
24,C54,578,Corpus uteri,2,200,166,240,200,2.6,7.4,0.29
25,C56,578,Ovary,2,331,282,388,331,4.7,12.2,0.55
29,C64,578,Kidney,2,110,84,144,110,1.4,4.0,0.14
30,C67,578,Bladder,2,127,90,179,127,1.2,4.7,0.08
31,C70-72,578," Brain, central nervous system",2,150,113,200,150,3.3,5.5,0.35
32,C73,578,Thyroid,2,33,22,49,33,0.34,1.2,0.03
33,C81,578,Hodgkin lymphoma,2,11,5,25,11,0.11,0.40,0.01
34,C82-86+C88,578,Non-Hodgkin lymphoma,2,184,145,234,184,1.9,6.8,0.18
35,C90,578,Multiple myeloma,2,157,117,210,157,1.9,5.8,0.20
36,C91-95,578,Leukaemia,2,208,166,260,208,2.8,7.6,0.27
