Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,586,All cancers,2,59697,59044,60358,59697,70.8,53.6,7.8
1,C00-06,586,"Lip, oral cavity",2,3365,3224,3513,3365,4.1,3.0,0.47
2,C07-08,586,Salivary glands,2,240,211,273,240,0.28,0.22,0.04
3,C09-10,586,Oropharynx,2,118,96,145,118,0.13,0.11,0.01
4,C11,586,Nasopharynx,2,204,160,259,204,0.21,0.18,0.02
5,C12-13,586,Hypopharynx,2,246,225,269,246,0.28,0.22,0.03
6,C15,586,Oesophagus,2,4207,3941,4491,4207,5.0,3.8,0.56
7,C16,586,Stomach,2,2144,1983,2318,2144,2.6,1.9,0.28
41,C18-C21,586,Colorectum,2,2143,-,-,2143,2.5,1.9,0.27
11,C22,586,Liver and intrahepatic bile ducts,2,2616,2396,2856,2616,3.3,2.4,0.39
12,C23,586,Gallbladder,2,1735,1587,1897,1735,2.2,1.6,0.25
13,C25,586,Pancreas,2,293,224,384,293,0.36,0.26,0.04
14,C32,586,Larynx,2,422,375,475,422,0.51,0.38,0.06
15,C33-34,586,"Trachea, bronchus and lung",2,1672,1524,1835,1672,2.1,1.5,0.24
16,C43,586,Melanoma of skin,2,125,106,147,125,0.15,0.11,0.02
17,C44,586,Non-melanoma skin cancer,2,859,821,898,859,1.1,0.77,0.12
18,C45,586,Mesothelioma,2,10,1,103,10,0.01,0.01,0.00
19,C46,586,Kaposi sarcoma,2,26,2,382,26,0.04,0.02,0.01
20,C50,586,Breast,2,15552,15333,15774,15552,18.6,14.0,2.1
21,C51,586,Vulva,2,128,111,147,128,0.16,0.11,0.02
22,C52,586,Vagina,2,121,105,139,121,0.14,0.11,0.01
23,C53,586,Cervix uteri,2,3069,2935,3209,3069,3.6,2.8,0.41
24,C54,586,Corpus uteri,2,1052,1020,1085,1052,1.3,0.94,0.17
25,C56,586,Ovary,2,3492,3331,3661,3492,4.2,3.1,0.48
29,C64,586,Kidney,2,707,659,759,707,0.85,0.63,0.10
30,C67,586,Bladder,2,570,518,627,570,0.73,0.51,0.08
31,C70-72,586," Brain, central nervous system",2,1806,1662,1962,1806,1.9,1.6,0.19
32,C73,586,Thyroid,2,388,381,395,388,0.47,0.35,0.06
33,C81,586,Hodgkin lymphoma,2,218,204,233,218,0.22,0.20,0.02
34,C82-86+C88,586,Non-Hodgkin lymphoma,2,1699,1611,1792,1699,2.0,1.5,0.23
35,C90,586,Multiple myeloma,2,802,700,919,802,0.98,0.72,0.12
36,C91-95,586,Leukaemia,2,2246,2117,2383,2246,2.1,2.0,0.18
