Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,598,All cancers,2,3926,3761,4098,3926,122.2,86.4,12.4
1,C00-06,598,"Lip, oral cavity",2,129,9,1898,129,4.0,2.8,0.46
2,C07-08,598,Salivary glands,2,15,13,18,15,0.31,0.33,0.02
3,C09-10,598,Oropharynx,2,3,3,3,3,0.08,0.07,0.01
4,C11,598,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,598,Hypopharynx,2,3,3,3,3,0.08,0.07,0.01
6,C15,598,Oesophagus,2,73,5,1074,73,2.7,1.6,0.22
7,C16,598,Stomach,2,152,11,2027,152,5.4,3.3,0.58
41,C18-C21,598,Colorectum,2,141,-,-,141,5.1,3.1,0.54
11,C22,598,Liver and intrahepatic bile ducts,2,298,122,730,298,9.4,6.6,1.1
12,C23,598,Gallbladder,2,31,2,456,31,0.98,0.68,0.12
13,C25,598,Pancreas,2,29,15,57,29,1.0,0.64,0.12
14,C32,598,Larynx,2,9,8,10,9,0.34,0.20,0.01
15,C33-34,598,"Trachea, bronchus and lung",2,210,98,451,210,7.1,4.6,0.82
16,C43,598,Melanoma of skin,2,30,30,30,30,0.99,0.66,0.07
17,C44,598,Non-melanoma skin cancer,2,120,119,121,120,4.7,2.6,0.43
18,C45,598,Mesothelioma,2,4,4,4,4,0.11,0.09,0.01
19,C46,598,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,598,Breast,2,900,787,1029,900,26.7,19.8,2.8
21,C51,598,Vulva,2,5,5,5,5,0.15,0.11,0.02
22,C52,598,Vagina,2,17,1,250,17,0.51,0.37,0.05
23,C53,598,Cervix uteri,2,686,536,878,686,19.9,15.1,2.1
24,C54,598,Corpus uteri,2,86,63,118,86,2.8,1.9,0.37
25,C56,598,Ovary,2,205,137,308,205,6.0,4.5,0.66
29,C64,598,Kidney,2,10,10,10,10,0.39,0.22,0.03
30,C67,598,Bladder,2,16,1,235,16,0.61,0.35,0.07
31,C70-72,598," Brain, central nervous system",2,22,1,324,22,0.64,0.48,0.07
32,C73,598,Thyroid,2,86,33,223,86,3.0,1.9,0.32
33,C81,598,Hodgkin lymphoma,2,7,7,7,7,0.14,0.15,0.01
34,C82-86+C88,598,Non-Hodgkin lymphoma,2,107,7,1574,107,3.3,2.4,0.32
35,C90,598,Multiple myeloma,2,12,3,54,12,0.39,0.26,0.04
36,C91-95,598,Leukaemia,2,131,51,335,131,3.8,2.9,0.38
