Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,600,All cancers,2,3049,2929,3174,3049,81.8,84.8,8.2
1,C00-06,600,"Lip, oral cavity",2,9,3,32,9,0.20,0.25,0.02
2,C07-08,600,Salivary glands,2,4,0,37,4,0.10,0.11,0.01
3,C09-10,600,Oropharynx,2,5,1,46,5,0.14,0.14,0.02
4,C11,600,Nasopharynx,2,1,0,9,1,0.02,0.03,0.00
5,C12-13,600,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,600,Oesophagus,2,28,15,51,28,0.73,0.78,0.08
7,C16,600,Stomach,2,128,94,174,128,3.4,3.6,0.35
41,C18-C21,600,Colorectum,2,305,-,-,305,7.9,8.5,0.83
11,C22,600,Liver and intrahepatic bile ducts,2,85,58,124,85,2.2,2.4,0.24
12,C23,600,Gallbladder,2,33,18,59,33,0.88,0.92,0.09
13,C25,600,Pancreas,2,152,116,199,152,3.9,4.2,0.41
14,C32,600,Larynx,2,7,3,19,7,0.17,0.19,0.02
15,C33-34,600,"Trachea, bronchus and lung",2,144,114,181,144,3.8,4.0,0.40
16,C43,600,Melanoma of skin,2,39,22,69,39,0.97,1.1,0.09
17,C44,600,Non-melanoma skin cancer,2,39,23,68,39,0.80,1.1,0.03
18,C45,600,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,600,Kaposi sarcoma,2,2,0,18,2,0.04,0.06,0.00
20,C50,600,Breast,2,608,526,703,608,16.9,16.9,1.8
21,C51,600,Vulva,2,16,7,36,16,0.35,0.44,0.02
22,C52,600,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,600,Cervix uteri,2,601,520,695,601,16.7,16.7,1.7
24,C54,600,Corpus uteri,2,73,48,111,73,1.9,2.0,0.23
25,C56,600,Ovary,2,108,77,151,108,3.0,3.0,0.34
29,C64,600,Kidney,2,24,12,46,24,0.66,0.67,0.08
30,C67,600,Bladder,2,16,8,32,16,0.39,0.44,0.05
31,C70-72,600," Brain, central nervous system",2,53,35,80,53,1.5,1.5,0.16
32,C73,600,Thyroid,2,31,16,60,31,0.80,0.86,0.09
33,C81,600,Hodgkin lymphoma,2,17,7,40,17,0.44,0.47,0.04
34,C82-86+C88,600,Non-Hodgkin lymphoma,2,68,46,102,68,1.8,1.9,0.18
35,C90,600,Multiple myeloma,2,27,14,52,27,0.78,0.75,0.10
36,C91-95,600,Leukaemia,2,145,112,188,145,3.9,4.0,0.36
