Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,616,All cancers,2,54250,53674,54832,54250,104.3,278.8,11.4
1,C00-06,616,"Lip, oral cavity",2,540,460,634,540,1.1,2.8,0.13
2,C07-08,616,Salivary glands,2,104,77,140,104,0.17,0.53,0.02
3,C09-10,616,Oropharynx,2,173,128,233,173,0.41,0.89,0.05
4,C11,616,Nasopharynx,2,42,31,57,42,0.09,0.22,0.01
5,C12-13,616,Hypopharynx,2,63,47,84,63,0.17,0.32,0.02
6,C15,616,Oesophagus,2,392,324,474,392,0.80,2.0,0.09
7,C16,616,Stomach,2,1936,1818,2062,1936,3.7,10.0,0.41
41,C18-C21,616,Colorectum,2,6422,-,-,6422,10.9,33.0,1.2
11,C22,616,Liver and intrahepatic bile ducts,2,988,879,1110,988,1.8,5.1,0.20
12,C23,616,Gallbladder,2,604,530,688,604,1.1,3.1,0.13
13,C25,616,Pancreas,2,2965,2801,3139,2965,5.3,15.2,0.65
14,C32,616,Larynx,2,227,185,279,227,0.49,1.2,0.06
15,C33-34,616,"Trachea, bronchus and lung",2,9439,9110,9780,9439,19.7,48.5,2.6
16,C43,616,Melanoma of skin,2,868,784,961,868,1.4,4.5,0.14
17,C44,616,Non-melanoma skin cancer,2,513,462,570,513,0.49,2.6,0.02
18,C45,616,Mesothelioma,2,136,103,180,136,0.28,0.70,0.03
19,C46,616,Kaposi sarcoma,2,6,3,12,6,0.01,0.03,0.00
20,C50,616,Breast,2,8723,8357,9105,8723,17.4,44.8,1.9
21,C51,616,Vulva,2,443,380,516,443,0.67,2.3,0.07
22,C52,616,Vagina,2,83,63,109,83,0.14,0.43,0.01
23,C53,616,Cervix uteri,2,2188,2060,2324,2188,5.2,11.3,0.60
24,C54,616,Corpus uteri,2,2275,2040,2537,2275,3.8,11.7,0.43
25,C56,616,Ovary,2,3206,3045,3376,3206,7.0,16.5,0.85
29,C64,616,Kidney,2,1044,957,1139,1044,1.9,5.4,0.22
30,C67,616,Bladder,2,1248,1136,1371,1248,1.9,6.4,0.22
31,C70-72,616," Brain, central nervous system",2,1551,1435,1676,1551,3.9,8.0,0.42
32,C73,616,Thyroid,2,282,230,346,282,0.48,1.5,0.06
33,C81,616,Hodgkin lymphoma,2,90,62,130,90,0.22,0.46,0.02
34,C82-86+C88,616,Non-Hodgkin lymphoma,2,1061,958,1175,1061,1.9,5.5,0.21
35,C90,616,Multiple myeloma,2,920,826,1025,920,1.6,4.7,0.20
36,C91-95,616,Leukaemia,2,1652,1484,1839,1652,2.9,8.5,0.30
