Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,498,All cancers,2,3301,3168,3440,3301,84.7,157.7,9.8
1,C00-06,498,"Lip, oral cavity",2,14,8,25,14,0.31,0.67,0.04
2,C07-08,498,Salivary glands,2,1,0,3,1,0.02,0.05,0.01
3,C09-10,498,Oropharynx,2,4,2,11,4,0.09,0.19,0.01
4,C11,498,Nasopharynx,2,9,4,18,9,0.23,0.43,0.03
5,C12-13,498,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,498,Oesophagus,2,9,4,19,9,0.19,0.43,0.03
7,C16,498,Stomach,2,189,152,235,189,4.8,9.0,0.60
41,C18-C21,498,Colorectum,2,453,-,-,453,10.9,21.6,1.4
11,C22,498,Liver and intrahepatic bile ducts,2,200,155,259,200,4.6,9.6,0.57
12,C23,498,Gallbladder,2,12,7,21,12,0.28,0.57,0.04
13,C25,498,Pancreas,2,256,212,310,256,6.0,12.2,0.75
14,C32,498,Larynx,2,4,2,10,4,0.13,0.19,0.02
15,C33-34,498,"Trachea, bronchus and lung",2,241,205,283,241,5.9,11.5,0.73
16,C43,498,Melanoma of skin,2,37,24,57,37,0.87,1.8,0.11
17,C44,498,Non-melanoma skin cancer,2,22,15,33,22,0.43,1.1,0.04
18,C45,498,Mesothelioma,2,2,0,8,2,0.05,0.10,0.01
19,C46,498,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,498,Breast,2,675,612,745,675,17.5,32.2,2.1
21,C51,498,Vulva,2,23,15,36,23,0.49,1.1,0.07
22,C52,498,Vagina,2,2,1,7,2,0.04,0.10,0.01
23,C53,498,Cervix uteri,2,236,196,284,236,7.2,11.3,0.78
24,C54,498,Corpus uteri,2,133,104,170,133,3.3,6.4,0.44
25,C56,498,Ovary,2,162,126,208,162,4.6,7.7,0.56
29,C64,498,Kidney,2,58,42,79,58,1.4,2.8,0.16
30,C67,498,Bladder,2,39,27,56,39,0.78,1.9,0.07
31,C70-72,498," Brain, central nervous system",2,121,94,156,121,3.9,5.8,0.43
32,C73,498,Thyroid,2,22,13,37,22,0.56,1.1,0.07
33,C81,498,Hodgkin lymphoma,2,10,5,19,10,0.34,0.48,0.04
34,C82-86+C88,498,Non-Hodgkin lymphoma,2,75,58,97,75,2.1,3.6,0.24
35,C90,498,Multiple myeloma,2,26,18,38,26,0.67,1.2,0.09
36,C91-95,498,Leukaemia,2,67,47,95,67,1.9,3.2,0.23
