Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,643,All cancers,2,147557,146588,148532,147557,84.9,188.7,9.5
1,C00-06,643,"Lip, oral cavity",2,1427,1279,1592,1427,0.90,1.8,0.10
2,C07-08,643,Salivary glands,2,333,266,417,333,0.18,0.43,0.02
3,C09-10,643,Oropharynx,2,298,235,379,298,0.21,0.38,0.02
4,C11,643,Nasopharynx,2,88,59,131,88,0.07,0.11,0.01
5,C12-13,643,Hypopharynx,2,237,180,313,237,0.17,0.30,0.02
6,C15,643,Oesophagus,2,1898,1800,2002,1898,1.0,2.4,0.12
7,C16,643,Stomach,2,12506,12272,12744,12506,6.5,16.0,0.77
41,C18-C21,643,Colorectum,2,21884,-,-,21884,10.7,28.0,1.3
11,C22,643,Liver and intrahepatic bile ducts,2,4656,4442,4880,4656,2.5,6.0,0.29
12,C23,643,Gallbladder,2,952,811,1118,952,0.48,1.2,0.06
13,C25,643,Pancreas,2,10624,10240,11022,10624,5.5,13.6,0.68
14,C32,643,Larynx,2,263,223,311,263,0.17,0.34,0.02
15,C33-34,643,"Trachea, bronchus and lung",2,10638,10291,10997,10638,5.9,13.6,0.73
16,C43,643,Melanoma of skin,2,2073,1936,2219,2073,1.2,2.7,0.14
17,C44,643,Non-melanoma skin cancer,2,796,700,905,796,0.32,1.0,0.03
18,C45,643,Mesothelioma,2,846,786,910,846,0.52,1.1,0.06
19,C46,643,Kaposi sarcoma,2,48,13,180,48,0.02,0.06,0.00
20,C50,643,Breast,2,22115,21502,22745,22115,13.6,28.3,1.6
21,C51,643,Vulva,2,1046,947,1155,1046,0.51,1.3,0.06
22,C52,643,Vagina,2,227,181,284,227,0.13,0.29,0.02
23,C53,643,Cervix uteri,2,7903,7640,8175,7903,6.4,10.1,0.67
24,C54,643,Corpus uteri,2,6756,6499,7023,6756,3.7,8.6,0.48
25,C56,643,Ovary,2,9333,9011,9667,9333,6.1,11.9,0.74
29,C64,643,Kidney,2,3655,3454,3868,3655,1.8,4.7,0.22
30,C67,643,Bladder,2,1343,1252,1440,1343,0.59,1.7,0.06
31,C70-72,643," Brain, central nervous system",2,4307,4055,4575,4307,3.2,5.5,0.35
32,C73,643,Thyroid,2,653,570,749,653,0.30,0.83,0.03
33,C81,643,Hodgkin lymphoma,2,356,290,438,356,0.30,0.46,0.03
34,C82-86+C88,643,Non-Hodgkin lymphoma,2,3423,3262,3591,3423,1.9,4.4,0.23
35,C90,643,Multiple myeloma,2,1946,1812,2090,1946,1.1,2.5,0.15
36,C91-95,643,Leukaemia,2,4132,3940,4333,4132,2.5,5.3,0.28
