Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,682,All cancers,2,5349,5156,5549,5349,45.0,35.3,4.9
1,C00-06,682,"Lip, oral cavity",2,88,77,101,88,0.79,0.58,0.09
2,C07-08,682,Salivary glands,2,12,9,15,12,0.10,0.08,0.01
3,C09-10,682,Oropharynx,2,6,1,34,6,0.05,0.04,0.01
4,C11,682,Nasopharynx,2,51,39,66,51,0.35,0.34,0.03
5,C12-13,682,Hypopharynx,2,13,10,17,13,0.10,0.09,0.01
6,C15,682,Oesophagus,2,95,63,143,95,0.90,0.63,0.10
7,C16,682,Stomach,2,191,153,239,191,1.7,1.3,0.19
41,C18-C21,682,Colorectum,2,620,-,-,620,5.2,4.1,0.56
11,C22,682,Liver and intrahepatic bile ducts,2,309,239,399,309,2.9,2.0,0.36
12,C23,682,Gallbladder,2,99,72,136,99,0.92,0.65,0.11
13,C25,682,Pancreas,2,162,114,231,162,1.5,1.1,0.18
14,C32,682,Larynx,2,10,6,18,10,0.10,0.07,0.01
15,C33-34,682,"Trachea, bronchus and lung",2,233,184,294,233,2.2,1.5,0.26
16,C43,682,Melanoma of skin,2,6,5,7,6,0.05,0.04,0.01
17,C44,682,Non-melanoma skin cancer,2,29,27,32,29,0.29,0.19,0.02
18,C45,682,Mesothelioma,2,7,2,28,7,0.06,0.05,0.01
19,C46,682,Kaposi sarcoma,2,3,2,5,3,0.01,0.02,0.00
20,C50,682,Breast,2,1046,1023,1069,1046,7.6,6.9,0.82
21,C51,682,Vulva,2,6,4,9,6,0.06,0.04,0.00
22,C52,682,Vagina,2,3,1,17,3,0.03,0.02,0.00
23,C53,682,Cervix uteri,2,164,144,187,164,1.3,1.1,0.15
24,C54,682,Corpus uteri,2,214,207,221,214,2.2,1.4,0.25
25,C56,682,Ovary,2,271,231,317,271,2.4,1.8,0.29
29,C64,682,Kidney,2,105,94,117,105,0.89,0.69,0.10
30,C67,682,Bladder,2,52,44,62,52,0.51,0.34,0.05
31,C70-72,682," Brain, central nervous system",2,156,120,202,156,1.2,1.0,0.12
32,C73,682,Thyroid,2,151,150,152,151,1.3,1.0,0.14
33,C81,682,Hodgkin lymphoma,2,57,53,61,57,0.44,0.38,0.04
34,C82-86+C88,682,Non-Hodgkin lymphoma,2,316,288,346,316,2.9,2.1,0.32
35,C90,682,Multiple myeloma,2,73,51,105,73,0.69,0.48,0.09
36,C91-95,682,Leukaemia,2,408,365,456,408,2.9,2.7,0.28
