Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,688,All cancers,2,10311,10081,10546,10311,101.9,233.5,11.3
1,C00-06,688,"Lip, oral cavity",2,71,54,94,71,0.64,1.6,0.07
2,C07-08,688,Salivary glands,2,20,12,33,20,0.18,0.45,0.02
3,C09-10,688,Oropharynx,2,13,7,23,13,0.13,0.29,0.02
4,C11,688,Nasopharynx,2,11,6,21,11,0.11,0.25,0.01
5,C12-13,688,Hypopharynx,2,12,6,23,12,0.14,0.27,0.02
6,C15,688,Oesophagus,2,47,35,62,47,0.48,1.1,0.06
7,C16,688,Stomach,2,355,305,413,355,3.3,8.0,0.38
41,C18-C21,688,Colorectum,2,1133,-,-,1133,10.0,25.7,1.1
11,C22,688,Liver and intrahepatic bile ducts,2,305,262,355,305,2.8,6.9,0.33
12,C23,688,Gallbladder,2,97,77,123,97,0.89,2.2,0.11
13,C25,688,Pancreas,2,654,577,741,654,5.9,14.8,0.70
14,C32,688,Larynx,2,30,22,42,30,0.29,0.68,0.03
15,C33-34,688,"Trachea, bronchus and lung",2,1879,1740,2029,1879,19.7,42.6,2.5
16,C43,688,Melanoma of skin,2,126,97,163,126,1.3,2.9,0.14
17,C44,688,Non-melanoma skin cancer,2,101,81,126,101,0.59,2.3,0.03
18,C45,688,Mesothelioma,2,10,5,20,10,0.09,0.23,0.01
19,C46,688,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,688,Breast,2,1845,1708,1992,1845,18.5,41.8,2.1
21,C51,688,Vulva,2,69,48,99,69,0.57,1.6,0.07
22,C52,688,Vagina,2,19,11,32,19,0.17,0.43,0.02
23,C53,688,Cervix uteri,2,505,445,573,505,6.3,11.4,0.72
24,C54,688,Corpus uteri,2,312,262,372,312,3.0,7.1,0.36
25,C56,688,Ovary,2,478,421,543,478,5.1,10.8,0.61
29,C64,688,Kidney,2,131,106,161,131,1.3,3.0,0.15
30,C67,688,Bladder,2,209,171,256,209,1.8,4.7,0.20
31,C70-72,688," Brain, central nervous system",2,317,257,391,317,3.5,7.2,0.39
32,C73,688,Thyroid,2,37,26,52,37,0.35,0.84,0.04
33,C81,688,Hodgkin lymphoma,2,28,18,44,28,0.31,0.63,0.03
34,C82-86+C88,688,Non-Hodgkin lymphoma,2,206,161,263,206,1.9,4.7,0.21
35,C90,688,Multiple myeloma,2,130,96,176,130,1.3,2.9,0.16
36,C91-95,688,Leukaemia,2,253,206,311,253,2.6,5.7,0.27
