Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,705,All cancers,2,3022,2887,3164,3022,92.6,289.9,9.9
1,C00-06,705,"Lip, oral cavity",2,12,6,22,12,0.37,1.2,0.04
2,C07-08,705,Salivary glands,2,2,0,8,2,0.03,0.19,0.00
3,C09-10,705,Oropharynx,2,8,4,17,8,0.30,0.77,0.04
4,C11,705,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,705,Hypopharynx,2,1,0,3,1,0.06,0.10,0.01
6,C15,705,Oesophagus,2,25,15,41,25,0.81,2.4,0.10
7,C16,705,Stomach,2,117,89,153,117,3.2,11.2,0.33
41,C18-C21,705,Colorectum,2,285,-,-,285,7.4,27.3,0.76
11,C22,705,Liver and intrahepatic bile ducts,2,119,95,149,119,3.5,11.4,0.42
12,C23,705,Gallbladder,2,30,20,44,30,0.94,2.9,0.09
13,C25,705,Pancreas,2,189,148,241,189,5.4,18.1,0.61
14,C32,705,Larynx,2,5,2,11,5,0.20,0.48,0.03
15,C33-34,705,"Trachea, bronchus and lung",2,513,454,580,513,18.5,49.2,2.3
16,C43,705,Melanoma of skin,2,55,41,73,55,1.9,5.3,0.20
17,C44,705,Non-melanoma skin cancer,2,30,19,47,30,0.49,2.9,0.03
18,C45,705,Mesothelioma,2,13,7,26,13,0.41,1.3,0.05
19,C46,705,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,705,Breast,2,470,397,556,470,15.0,45.1,1.6
21,C51,705,Vulva,2,26,17,40,26,0.57,2.5,0.05
22,C52,705,Vagina,2,4,2,9,4,0.08,0.38,0.01
23,C53,705,Cervix uteri,2,61,39,95,61,2.4,5.9,0.27
24,C54,705,Corpus uteri,2,105,83,133,105,3.5,10.1,0.41
25,C56,705,Ovary,2,136,108,172,136,5.0,13.1,0.59
29,C64,705,Kidney,2,57,43,75,57,1.4,5.5,0.15
30,C67,705,Bladder,2,75,58,98,75,1.8,7.2,0.17
31,C70-72,705," Brain, central nervous system",2,80,56,113,80,3.5,7.7,0.38
32,C73,705,Thyroid,2,15,8,28,15,0.37,1.4,0.04
33,C81,705,Hodgkin lymphoma,2,5,2,12,5,0.09,0.48,0.01
34,C82-86+C88,705,Non-Hodgkin lymphoma,2,110,85,142,110,2.9,10.6,0.31
35,C90,705,Multiple myeloma,2,65,48,87,65,1.7,6.2,0.20
36,C91-95,705,Leukaemia,2,123,86,176,123,3.1,11.8,0.33
