Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,724,All cancers,2,46148,45629,46673,46148,65.3,194.3,6.9
1,C00-06,724,"Lip, oral cavity",2,488,412,578,488,0.61,2.1,0.07
2,C07-08,724,Salivary glands,2,72,55,94,72,0.10,0.30,0.01
3,C09-10,724,Oropharynx,2,97,71,133,97,0.18,0.41,0.02
4,C11,724,Nasopharynx,2,43,32,58,43,0.08,0.18,0.01
5,C12-13,724,Hypopharynx,2,28,17,45,28,0.06,0.12,0.01
6,C15,724,Oesophagus,2,338,291,393,338,0.49,1.4,0.06
7,C16,724,Stomach,2,1983,1844,2133,1983,2.6,8.4,0.27
41,C18-C21,724,Colorectum,2,6702,-,-,6702,7.7,28.2,0.79
11,C22,724,Liver and intrahepatic bile ducts,2,1665,1553,1785,1665,2.1,7.0,0.23
12,C23,724,Gallbladder,2,262,220,312,262,0.29,1.1,0.03
13,C25,724,Pancreas,2,4025,3811,4251,4025,5.2,17.0,0.61
14,C32,724,Larynx,2,141,92,216,141,0.23,0.59,0.03
15,C33-34,724,"Trachea, bronchus and lung",2,5979,5701,6271,5979,10.6,25.2,1.3
16,C43,724,Melanoma of skin,2,476,414,547,476,0.70,2.0,0.07
17,C44,724,Non-melanoma skin cancer,2,309,263,363,309,0.23,1.3,0.01
18,C45,724,Mesothelioma,2,115,90,148,115,0.18,0.48,0.02
19,C46,724,Kaposi sarcoma,2,10,5,19,10,0.01,0.04,0.00
20,C50,724,Breast,2,6747,6490,7014,6747,10.6,28.4,1.1
21,C51,724,Vulva,2,377,326,436,377,0.37,1.6,0.04
22,C52,724,Vagina,2,75,57,99,75,0.08,0.32,0.01
23,C53,724,Cervix uteri,2,802,718,896,802,1.6,3.4,0.17
24,C54,724,Corpus uteri,2,1625,1505,1754,1625,2.1,6.8,0.24
25,C56,724,Ovary,2,2136,1981,2304,2136,3.6,9.0,0.42
29,C64,724,Kidney,2,980,889,1080,980,1.3,4.1,0.13
30,C67,724,Bladder,2,1148,1056,1248,1148,1.2,4.8,0.11
31,C70-72,724," Brain, central nervous system",2,1495,1392,1606,1495,2.9,6.3,0.32
32,C73,724,Thyroid,2,193,155,240,193,0.24,0.81,0.03
33,C81,724,Hodgkin lymphoma,2,84,64,110,84,0.13,0.35,0.01
34,C82-86+C88,724,Non-Hodgkin lymphoma,2,1419,1301,1548,1419,1.7,6.0,0.18
35,C90,724,Multiple myeloma,2,973,882,1074,973,1.1,4.1,0.13
36,C91-95,724,Leukaemia,2,1531,1418,1653,1531,2.0,6.5,0.19
