Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,729,All cancers,2,10503,10231,10782,10503,69.7,45.6,7.2
1,C00-06,729,"Lip, oral cavity",2,116,100,135,116,0.73,0.50,0.06
2,C07-08,729,Salivary glands,2,27,19,38,27,0.20,0.12,0.02
3,C09-10,729,Oropharynx,2,6,4,9,6,0.04,0.03,0.01
4,C11,729,Nasopharynx,2,138,112,169,138,0.87,0.60,0.09
5,C12-13,729,Hypopharynx,2,24,16,36,24,0.15,0.10,0.01
6,C15,729,Oesophagus,2,369,296,460,369,2.5,1.6,0.30
7,C16,729,Stomach,2,267,212,336,267,1.9,1.2,0.19
41,C18-C21,729,Colorectum,2,571,-,-,571,3.7,2.5,0.31
11,C22,729,Liver and intrahepatic bile ducts,2,409,331,506,409,2.9,1.8,0.33
12,C23,729,Gallbladder,2,172,130,227,172,1.3,0.75,0.15
13,C25,729,Pancreas,2,117,85,162,117,0.79,0.51,0.08
14,C32,729,Larynx,2,23,13,42,23,0.17,0.10,0.02
15,C33-34,729,"Trachea, bronchus and lung",2,247,189,322,247,1.8,1.1,0.21
16,C43,729,Melanoma of skin,2,56,42,74,56,0.41,0.24,0.05
17,C44,729,Non-melanoma skin cancer,2,126,110,144,126,0.89,0.55,0.11
18,C45,729,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,729,Kaposi sarcoma,2,4,1,14,4,0.02,0.02,0.00
20,C50,729,Breast,2,3243,3147,3342,3243,20.7,14.1,2.1
21,C51,729,Vulva,2,72,61,85,72,0.52,0.31,0.06
22,C52,729,Vagina,2,20,15,26,20,0.13,0.09,0.02
23,C53,729,Cervix uteri,2,738,680,801,738,5.2,3.2,0.60
24,C54,729,Corpus uteri,2,111,103,120,111,0.83,0.48,0.11
25,C56,729,Ovary,2,659,598,726,659,4.4,2.9,0.54
29,C64,729,Kidney,2,214,178,257,214,1.3,0.93,0.14
30,C67,729,Bladder,2,111,91,135,111,0.82,0.48,0.09
31,C70-72,729," Brain, central nervous system",2,163,128,207,163,0.99,0.71,0.12
32,C73,729,Thyroid,2,128,122,134,128,0.94,0.56,0.08
33,C81,729,Hodgkin lymphoma,2,52,44,62,52,0.28,0.23,0.02
34,C82-86+C88,729,Non-Hodgkin lymphoma,2,315,276,360,315,2.1,1.4,0.21
35,C90,729,Multiple myeloma,2,105,70,158,105,0.75,0.46,0.09
36,C91-95,729,Leukaemia,2,475,412,548,475,2.9,2.1,0.30
