Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,834,All cancers,2,16947,16601,17301,16947,100.1,53.5,10.6
1,C00-06,834,"Lip, oral cavity",2,150,73,307,150,0.95,0.47,0.09
2,C07-08,834,Salivary glands,2,50,20,123,50,0.34,0.16,0.03
3,C09-10,834,Oropharynx,2,15,6,35,15,0.08,0.05,0.01
4,C11,834,Nasopharynx,2,114,59,219,114,0.66,0.36,0.06
5,C12-13,834,Hypopharynx,2,40,5,292,40,0.27,0.13,0.03
6,C15,834,Oesophagus,2,1000,799,1251,1000,6.3,3.2,0.73
7,C16,834,Stomach,2,346,241,497,346,2.3,1.1,0.27
41,C18-C21,834,Colorectum,2,788,-,-,788,4.8,2.5,0.53
11,C22,834,Liver and intrahepatic bile ducts,2,436,297,640,436,2.6,1.4,0.32
12,C23,834,Gallbladder,2,44,10,203,44,0.29,0.14,0.02
13,C25,834,Pancreas,2,192,70,528,192,1.3,0.61,0.16
14,C32,834,Larynx,2,26,11,62,26,0.13,0.08,0.02
15,C33-34,834,"Trachea, bronchus and lung",2,334,216,517,334,2.0,1.1,0.22
16,C43,834,Melanoma of skin,2,125,103,151,125,0.86,0.39,0.08
17,C44,834,Non-melanoma skin cancer,2,182,159,209,182,1.2,0.57,0.14
18,C45,834,Mesothelioma,2,25,2,368,25,0.19,0.08,0.03
19,C46,834,Kaposi sarcoma,2,279,233,334,279,1.2,0.88,0.11
20,C50,834,Breast,2,2255,2151,2364,2255,12.9,7.1,1.5
21,C51,834,Vulva,2,137,114,164,137,0.67,0.43,0.07
22,C52,834,Vagina,2,72,50,103,72,0.45,0.23,0.05
23,C53,834,Cervix uteri,2,6832,6601,7071,6832,42.2,21.6,4.6
24,C54,834,Corpus uteri,2,119,103,137,119,0.80,0.38,0.11
25,C56,834,Ovary,2,510,431,604,510,3.0,1.6,0.37
29,C64,834,Kidney,2,221,161,304,221,0.99,0.70,0.09
30,C67,834,Bladder,2,288,240,345,288,2.0,0.91,0.19
31,C70-72,834," Brain, central nervous system",2,69,39,121,69,0.34,0.22,0.03
32,C73,834,Thyroid,2,106,87,129,106,0.71,0.33,0.08
33,C81,834,Hodgkin lymphoma,2,119,71,198,119,0.68,0.38,0.06
34,C82-86+C88,834,Non-Hodgkin lymphoma,2,470,378,585,470,2.5,1.5,0.24
35,C90,834,Multiple myeloma,2,31,13,74,31,0.21,0.10,0.02
36,C91-95,834,Leukaemia,2,214,165,277,214,0.96,0.68,0.09
