Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,764,All cancers,2,53729,53109,54356,53729,78.2,149.2,8.6
1,C00-06,764,"Lip, oral cavity",2,1176,1100,1257,1176,1.5,3.3,0.15
2,C07-08,764,Salivary glands,2,105,85,129,105,0.15,0.29,0.02
3,C09-10,764,Oropharynx,2,97,69,137,97,0.13,0.27,0.01
4,C11,764,Nasopharynx,2,422,363,491,422,0.67,1.2,0.08
5,C12-13,764,Hypopharynx,2,47,28,80,47,0.06,0.13,0.01
6,C15,764,Oesophagus,2,561,401,785,561,0.75,1.6,0.09
7,C16,764,Stomach,2,1393,1271,1527,1393,2.0,3.9,0.23
41,C18-C21,764,Colorectum,2,5057,-,-,5057,6.6,14.0,0.72
11,C22,764,Liver and intrahepatic bile ducts,2,8581,8178,9004,8581,12.1,23.8,1.5
12,C23,764,Gallbladder,2,601,491,736,601,0.82,1.7,0.10
13,C25,764,Pancreas,2,1279,1066,1534,1279,1.8,3.6,0.21
14,C32,764,Larynx,2,120,79,182,120,0.16,0.33,0.02
15,C33-34,764,"Trachea, bronchus and lung",2,7011,6737,7296,7011,9.6,19.5,1.2
16,C43,764,Melanoma of skin,2,154,122,195,154,0.22,0.43,0.02
17,C44,764,Non-melanoma skin cancer,2,492,469,516,492,0.62,1.4,0.06
18,C45,764,Mesothelioma,2,12,4,38,12,0.02,0.03,0.00
19,C46,764,Kaposi sarcoma,2,4,3,6,4,0.00,0.01,0.00
20,C50,764,Breast,2,7599,7505,7695,7599,11.8,21.1,1.3
21,C51,764,Vulva,2,88,73,106,88,0.12,0.24,0.01
22,C52,764,Vagina,2,79,58,108,79,0.12,0.22,0.01
23,C53,764,Cervix uteri,2,4576,4454,4701,4576,6.9,12.7,0.79
24,C54,764,Corpus uteri,2,1301,1273,1330,1301,1.9,3.6,0.24
25,C56,764,Ovary,2,2644,2529,2765,2644,4.2,7.3,0.49
29,C64,764,Kidney,2,356,302,420,356,0.50,0.99,0.05
30,C67,764,Bladder,2,823,720,941,823,0.94,2.3,0.09
31,C70-72,764," Brain, central nervous system",2,1056,935,1193,1056,1.9,2.9,0.19
32,C73,764,Thyroid,2,307,304,310,307,0.39,0.85,0.04
33,C81,764,Hodgkin lymphoma,2,40,32,49,40,0.08,0.11,0.01
34,C82-86+C88,764,Non-Hodgkin lymphoma,2,1849,1764,1938,1849,2.7,5.1,0.30
35,C90,764,Multiple myeloma,2,581,448,754,581,0.80,1.6,0.10
36,C91-95,764,Leukaemia,2,1546,1420,1683,1546,2.9,4.3,0.28
