Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,795,All cancers,2,2273,2148,2405,2273,74.8,72.2,8.1
1,C00-06,795,"Lip, oral cavity",2,28,17,45,28,0.92,0.89,0.11
2,C07-08,795,Salivary glands,2,2,1,3,2,0.07,0.06,0.01
3,C09-10,795,Oropharynx,2,16,1,235,16,0.52,0.51,0.05
4,C11,795,Nasopharynx,2,7,3,16,7,0.22,0.22,0.02
5,C12-13,795,Hypopharynx,2,9,1,100,9,0.29,0.29,0.04
6,C15,795,Oesophagus,2,175,12,2574,175,6.0,5.6,0.73
7,C16,795,Stomach,2,161,135,192,161,5.5,5.1,0.63
41,C18-C21,795,Colorectum,2,100,-,-,100,3.3,3.2,0.37
11,C22,795,Liver and intrahepatic bile ducts,2,123,74,205,123,4.2,3.9,0.50
12,C23,795,Gallbladder,2,13,4,44,13,0.45,0.41,0.05
13,C25,795,Pancreas,2,54,13,226,54,1.8,1.7,0.22
14,C32,795,Larynx,2,6,1,29,6,0.21,0.19,0.03
15,C33-34,795,"Trachea, bronchus and lung",2,112,65,193,112,3.8,3.6,0.45
16,C43,795,Melanoma of skin,2,12,1,177,12,0.39,0.38,0.03
17,C44,795,Non-melanoma skin cancer,2,16,1,235,16,0.52,0.51,0.04
18,C45,795,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,795,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,795,Breast,2,485,254,925,485,15.6,15.4,1.7
21,C51,795,Vulva,2,9,1,132,9,0.32,0.29,0.03
22,C52,795,Vagina,2,4,1,12,4,0.14,0.13,0.03
23,C53,795,Cervix uteri,2,279,117,667,279,8.9,8.9,1.0
24,C54,795,Corpus uteri,2,46,33,64,46,1.6,1.5,0.20
25,C56,795,Ovary,2,104,24,457,104,3.4,3.3,0.40
29,C64,795,Kidney,2,38,4,342,38,1.3,1.2,0.14
30,C67,795,Bladder,2,13,1,191,13,0.47,0.41,0.06
31,C70-72,795," Brain, central nervous system",2,106,63,178,106,3.4,3.4,0.34
32,C73,795,Thyroid,2,12,4,33,12,0.42,0.38,0.05
33,C81,795,Hodgkin lymphoma,2,6,0,88,6,0.18,0.19,0.02
34,C82-86+C88,795,Non-Hodgkin lymphoma,2,21,1,309,21,0.69,0.67,0.07
35,C90,795,Multiple myeloma,2,25,2,368,25,0.83,0.79,0.11
36,C91-95,795,Leukaemia,2,82,28,241,82,2.6,2.6,0.25
