Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,804,All cancers,2,36738,36235,37248,36738,73.7,158.6,8.5
1,C00-06,804,"Lip, oral cavity",2,266,202,351,266,0.51,1.2,0.06
2,C07-08,804,Salivary glands,2,69,39,121,69,0.12,0.30,0.01
3,C09-10,804,Oropharynx,2,84,55,129,84,0.19,0.36,0.02
4,C11,804,Nasopharynx,2,45,30,66,45,0.13,0.19,0.01
5,C12-13,804,Hypopharynx,2,30,19,48,30,0.07,0.13,0.01
6,C15,804,Oesophagus,2,207,150,285,207,0.37,0.89,0.04
7,C16,804,Stomach,2,2429,2223,2654,2429,4.3,10.5,0.52
41,C18-C21,804,Colorectum,2,5402,-,-,5402,9.4,23.3,1.2
11,C22,804,Liver and intrahepatic bile ducts,2,780,658,925,780,1.4,3.4,0.18
12,C23,804,Gallbladder,2,301,243,372,301,0.53,1.3,0.07
13,C25,804,Pancreas,2,2441,2236,2664,2441,4.3,10.5,0.55
14,C32,804,Larynx,2,43,29,64,43,0.09,0.19,0.01
15,C33-34,804,"Trachea, bronchus and lung",2,2481,2352,2617,2481,4.6,10.7,0.57
16,C43,804,Melanoma of skin,2,611,524,712,611,1.4,2.6,0.15
17,C44,804,Non-melanoma skin cancer,2,282,226,352,282,0.35,1.2,0.03
18,C45,804,Mesothelioma,2,80,54,119,80,0.16,0.35,0.02
19,C46,804,Kaposi sarcoma,2,3,0,18,3,0.01,0.01,0.00
20,C50,804,Breast,2,6613,6171,7087,6613,13.2,28.5,1.6
21,C51,804,Vulva,2,347,285,422,347,0.51,1.5,0.06
22,C52,804,Vagina,2,78,52,118,78,0.15,0.34,0.02
23,C53,804,Cervix uteri,2,2598,2392,2822,2598,7.0,11.2,0.76
24,C54,804,Corpus uteri,2,1912,1714,2133,1912,3.7,8.3,0.48
25,C56,804,Ovary,2,2638,2442,2850,2638,6.0,11.4,0.72
29,C64,804,Kidney,2,887,788,998,887,1.7,3.8,0.22
30,C67,804,Bladder,2,330,266,410,330,0.49,1.4,0.06
31,C70-72,804," Brain, central nervous system",2,924,786,1086,924,2.5,4.0,0.27
32,C73,804,Thyroid,2,247,198,309,247,0.43,1.1,0.06
33,C81,804,Hodgkin lymphoma,2,121,83,176,121,0.38,0.52,0.04
34,C82-86+C88,804,Non-Hodgkin lymphoma,2,694,590,816,694,1.5,3.0,0.18
35,C90,804,Multiple myeloma,2,419,338,520,419,0.85,1.8,0.12
36,C91-95,804,Leukaemia,2,993,874,1128,993,2.4,4.3,0.26
