Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,784,All cancers,2,1000,918,1089,1000,70.3,31.8,7.5
1,C00-06,784,"Lip, oral cavity",2,15,10,22,15,1.3,0.48,0.12
2,C07-08,784,Salivary glands,2,1,1,2,1,0.07,0.03,0.01
3,C09-10,784,Oropharynx,2,2,0,9,2,0.11,0.06,0.01
4,C11,784,Nasopharynx,2,8,2,26,8,0.51,0.25,0.08
5,C12-13,784,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,784,Oesophagus,2,8,2,32,8,0.70,0.25,0.09
7,C16,784,Stomach,2,43,26,70,43,3.0,1.4,0.36
41,C18-C21,784,Colorectum,2,87,-,-,87,6.0,2.8,0.72
11,C22,784,Liver and intrahepatic bile ducts,2,32,14,73,32,2.6,1.0,0.31
12,C23,784,Gallbladder,2,8,2,26,8,0.62,0.25,0.10
13,C25,784,Pancreas,2,30,13,67,30,2.5,0.95,0.30
14,C32,784,Larynx,2,3,1,10,3,0.23,0.10,0.03
15,C33-34,784,"Trachea, bronchus and lung",2,51,32,80,51,4.4,1.6,0.49
16,C43,784,Melanoma of skin,2,2,2,2,2,0.11,0.06,0.01
17,C44,784,Non-melanoma skin cancer,2,4,3,5,4,0.19,0.13,0.02
18,C45,784,Mesothelioma,2,2,0,29,2,0.19,0.06,0.04
19,C46,784,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,784,Breast,2,253,245,261,253,15.9,8.0,1.7
21,C51,784,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,784,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,784,Cervix uteri,2,69,57,84,69,3.5,2.2,0.43
24,C54,784,Corpus uteri,2,33,31,36,33,2.8,1.1,0.32
25,C56,784,Ovary,2,61,47,80,61,4.0,1.9,0.48
29,C64,784,Kidney,2,15,12,19,15,1.3,0.48,0.12
30,C67,784,Bladder,2,12,10,15,12,1.4,0.38,0.11
31,C70-72,784," Brain, central nervous system",2,43,24,76,43,2.4,1.4,0.28
32,C73,784,Thyroid,2,30,29,31,30,3.1,0.95,0.25
33,C81,784,Hodgkin lymphoma,2,8,7,9,8,0.46,0.25,0.08
34,C82-86+C88,784,Non-Hodgkin lymphoma,2,30,25,36,30,2.9,0.95,0.26
35,C90,784,Multiple myeloma,2,12,7,19,12,1.2,0.38,0.11
36,C91-95,784,Leukaemia,2,65,52,81,65,3.8,2.1,0.34
