Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,840,All cancers,2,285120,283853,286393,285120,73.6,168.6,7.9
1,C00-06,840,"Lip, oral cavity",2,1505,1407,1609,1505,0.37,0.89,0.04
2,C07-08,840,Salivary glands,2,395,333,468,395,0.10,0.23,0.01
3,C09-10,840,Oropharynx,2,697,630,771,697,0.19,0.41,0.02
4,C11,840,Nasopharynx,2,236,196,284,236,0.07,0.14,0.01
5,C12-13,840,Hypopharynx,2,167,118,236,167,0.05,0.10,0.01
6,C15,840,Oesophagus,2,3191,3027,3363,3191,0.83,1.9,0.10
7,C16,840,Stomach,2,4364,4159,4579,4364,1.2,2.6,0.13
41,C18-C21,840,Colorectum,2,24963,-,-,24963,6.4,14.8,0.65
11,C22,840,Liver and intrahepatic bile ducts,2,10069,9664,10491,10069,2.6,6.0,0.30
12,C23,840,Gallbladder,2,1429,1321,1546,1429,0.35,0.84,0.04
13,C25,840,Pancreas,2,23437,22997,23885,23437,5.7,13.9,0.66
14,C32,840,Larynx,2,771,701,848,771,0.22,0.46,0.03
15,C33-34,840,"Trachea, bronchus and lung",2,60807,59811,61819,60807,14.7,36.0,1.8
16,C43,840,Melanoma of skin,2,2547,2404,2699,2547,0.71,1.5,0.08
17,C44,840,Non-melanoma skin cancer,2,1327,1218,1446,1327,0.27,0.78,0.02
18,C45,840,Mesothelioma,2,605,542,676,605,0.15,0.36,0.02
19,C46,840,Kaposi sarcoma,2,22,14,36,22,0.01,0.01,0.00
20,C50,840,Breast,2,42900,42296,43513,42900,12.2,25.4,1.3
21,C51,840,Vulva,2,1569,1442,1707,1569,0.36,0.93,0.04
22,C52,840,Vagina,2,404,357,458,404,0.10,0.24,0.01
23,C53,840,Cervix uteri,2,5932,5659,6218,5932,2.2,3.5,0.23
24,C54,840,Corpus uteri,2,11939,11564,12326,11939,3.1,7.1,0.38
25,C56,840,Ovary,2,13273,12940,13614,13273,3.7,7.9,0.43
29,C64,840,Kidney,2,4776,4596,4963,4776,1.2,2.8,0.12
30,C67,840,Bladder,2,4875,4680,5078,4875,0.96,2.9,0.09
31,C70-72,840," Brain, central nervous system",2,7945,7754,8141,7945,2.6,4.7,0.29
32,C73,840,Thyroid,2,1169,1084,1261,1169,0.28,0.69,0.03
33,C81,840,Hodgkin lymphoma,2,390,343,443,390,0.10,0.23,0.01
34,C82-86+C88,840,Non-Hodgkin lymphoma,2,8603,8285,8934,8603,1.9,5.1,0.18
35,C90,840,Multiple myeloma,2,5693,5493,5900,5693,1.2,3.4,0.13
36,C91-95,840,Leukaemia,2,9583,9319,9855,9583,2.3,5.7,0.21
