Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,860,All cancers,2,11328,11104,11557,11328,67.3,65.8,7.5
1,C00-06,860,"Lip, oral cavity",2,131,95,180,131,0.80,0.76,0.09
2,C07-08,860,Salivary glands,2,27,13,55,27,0.16,0.16,0.02
3,C09-10,860,Oropharynx,2,48,27,85,48,0.28,0.28,0.03
4,C11,860,Nasopharynx,2,42,24,73,42,0.24,0.24,0.02
5,C12-13,860,Hypopharynx,2,26,12,56,26,0.15,0.15,0.02
6,C15,860,Oesophagus,2,631,550,724,631,3.9,3.7,0.48
7,C16,860,Stomach,2,884,768,1018,884,5.4,5.1,0.67
41,C18-C21,860,Colorectum,2,651,-,-,651,4.0,3.8,0.49
11,C22,860,Liver and intrahepatic bile ducts,2,555,460,669,555,3.4,3.2,0.43
12,C23,860,Gallbladder,2,43,24,77,43,0.26,0.25,0.03
13,C25,860,Pancreas,2,458,378,555,458,2.8,2.7,0.35
14,C32,860,Larynx,2,25,13,48,25,0.14,0.15,0.01
15,C33-34,860,"Trachea, bronchus and lung",2,576,493,673,576,3.5,3.3,0.43
16,C43,860,Melanoma of skin,2,47,27,80,47,0.29,0.27,0.02
17,C44,860,Non-melanoma skin cancer,2,69,45,106,69,0.43,0.40,0.03
18,C45,860,Mesothelioma,2,25,12,50,25,0.15,0.15,0.01
19,C46,860,Kaposi sarcoma,2,14,5,37,14,0.08,0.08,0.01
20,C50,860,Breast,2,2246,2063,2446,2246,13.0,13.0,1.5
21,C51,860,Vulva,2,41,23,73,41,0.25,0.24,0.03
22,C52,860,Vagina,2,23,11,50,23,0.14,0.13,0.02
23,C53,860,Cervix uteri,2,1585,1434,1752,1585,9.2,9.2,1.1
24,C54,860,Corpus uteri,2,252,204,312,252,1.6,1.5,0.21
25,C56,860,Ovary,2,562,486,650,562,3.3,3.3,0.39
29,C64,860,Kidney,2,129,91,182,129,0.79,0.75,0.09
30,C67,860,Bladder,2,59,36,98,59,0.37,0.34,0.05
31,C70-72,860," Brain, central nervous system",2,588,507,682,588,3.4,3.4,0.34
32,C73,860,Thyroid,2,49,27,89,49,0.30,0.28,0.04
33,C81,860,Hodgkin lymphoma,2,54,36,82,54,0.31,0.31,0.03
34,C82-86+C88,860,Non-Hodgkin lymphoma,2,146,108,198,146,0.87,0.85,0.10
35,C90,860,Multiple myeloma,2,17,6,45,17,0.10,0.10,0.01
36,C91-95,860,Leukaemia,2,458,390,538,458,2.7,2.7,0.24
