Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,862,All cancers,2,15391,15119,15668,15391,82.5,103.5,8.6
1,C00-06,862,"Lip, oral cavity",2,110,77,158,110,0.55,0.74,0.05
2,C07-08,862,Salivary glands,2,22,10,47,22,0.12,0.15,0.01
3,C09-10,862,Oropharynx,2,34,18,66,34,0.18,0.23,0.02
4,C11,862,Nasopharynx,2,26,12,55,26,0.14,0.17,0.02
5,C12-13,862,Hypopharynx,2,2,0,18,2,0.01,0.01,0.00
6,C15,862,Oesophagus,2,63,32,124,63,0.32,0.42,0.04
7,C16,862,Stomach,2,620,510,754,620,3.2,4.2,0.33
41,C18-C21,862,Colorectum,2,1294,-,-,1294,6.6,8.7,0.70
11,C22,862,Liver and intrahepatic bile ducts,2,591,505,692,591,3.0,4.0,0.33
12,C23,862,Gallbladder,2,111,76,161,111,0.58,0.75,0.07
13,C25,862,Pancreas,2,686,592,795,686,3.5,4.6,0.40
14,C32,862,Larynx,2,45,28,72,45,0.23,0.30,0.03
15,C33-34,862,"Trachea, bronchus and lung",2,1944,1778,2125,1944,10.3,13.1,1.2
16,C43,862,Melanoma of skin,2,63,39,102,63,0.32,0.42,0.03
17,C44,862,Non-melanoma skin cancer,2,283,208,384,283,1.3,1.9,0.10
18,C45,862,Mesothelioma,2,5,1,36,5,0.03,0.03,0.00
19,C46,862,Kaposi sarcoma,2,6,1,37,6,0.03,0.04,0.00
20,C50,862,Breast,2,2953,2749,3172,2953,16.2,19.9,1.8
21,C51,862,Vulva,2,35,19,65,35,0.17,0.24,0.02
22,C52,862,Vagina,2,36,18,70,36,0.19,0.24,0.02
23,C53,862,Cervix uteri,2,2246,2068,2440,2246,12.5,15.1,1.3
24,C54,862,Corpus uteri,2,349,281,434,349,1.9,2.4,0.23
25,C56,862,Ovary,2,687,590,799,687,3.8,4.6,0.44
29,C64,862,Kidney,2,229,176,297,229,1.3,1.5,0.15
30,C67,862,Bladder,2,159,120,210,159,0.76,1.1,0.07
31,C70-72,862," Brain, central nervous system",2,320,258,397,320,1.9,2.2,0.20
32,C73,862,Thyroid,2,119,83,170,119,0.60,0.80,0.07
33,C81,862,Hodgkin lymphoma,2,75,49,116,75,0.43,0.50,0.04
34,C82-86+C88,862,Non-Hodgkin lymphoma,2,357,290,439,357,1.9,2.4,0.22
35,C90,862,Multiple myeloma,2,191,144,254,191,1.0,1.3,0.12
36,C91-95,862,Leukaemia,2,485,406,579,485,2.9,3.3,0.26
