Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,704,All cancers,2,48799,48209,49397,48799,72.7,98.5,8.0
1,C00-06,704,"Lip, oral cavity",2,306,274,342,306,0.43,0.62,0.05
2,C07-08,704,Salivary glands,2,64,56,73,64,0.09,0.13,0.01
3,C09-10,704,Oropharynx,2,62,47,82,62,0.09,0.13,0.01
4,C11,704,Nasopharynx,2,988,920,1061,988,1.5,2.0,0.17
5,C12-13,704,Hypopharynx,2,242,205,286,242,0.32,0.49,0.03
6,C15,704,Oesophagus,2,366,287,466,366,0.53,0.74,0.06
7,C16,704,Stomach,2,5100,4861,5351,5100,7.4,10.3,0.87
41,C18-C21,704,Colorectum,2,3842,-,-,3842,5.4,7.8,0.62
11,C22,704,Liver and intrahepatic bile ducts,2,5221,4930,5529,5221,7.7,10.5,0.92
12,C23,704,Gallbladder,2,85,62,116,85,0.12,0.17,0.01
13,C25,704,Pancreas,2,447,362,552,447,0.65,0.90,0.08
14,C32,704,Larynx,2,214,173,264,214,0.25,0.43,0.02
15,C33-34,704,"Trachea, bronchus and lung",2,6825,6499,7167,6825,10.0,13.8,1.2
16,C43,704,Melanoma of skin,2,57,39,84,57,0.08,0.12,0.01
17,C44,704,Non-melanoma skin cancer,2,246,231,262,246,0.34,0.50,0.04
18,C45,704,Mesothelioma,2,182,131,252,182,0.29,0.37,0.03
19,C46,704,Kaposi sarcoma,2,20,13,31,20,0.03,0.04,0.00
20,C50,704,Breast,2,10008,9884,10134,10008,14.7,20.2,1.6
21,C51,704,Vulva,2,73,64,83,73,0.10,0.15,0.01
22,C52,704,Vagina,2,32,22,47,32,0.04,0.06,0.00
23,C53,704,Cervix uteri,2,2571,2474,2672,2571,3.8,5.2,0.46
24,C54,704,Corpus uteri,2,1374,1349,1400,1374,2.1,2.8,0.25
25,C56,704,Ovary,2,1003,928,1084,1003,1.6,2.0,0.19
29,C64,704,Kidney,2,582,544,623,582,0.95,1.2,0.10
30,C67,704,Bladder,2,221,191,255,221,0.27,0.45,0.02
31,C70-72,704," Brain, central nervous system",2,1129,1009,1264,1129,1.8,2.3,0.19
32,C73,704,Thyroid,2,673,667,679,673,1.0,1.4,0.12
33,C81,704,Hodgkin lymphoma,2,93,82,105,93,0.16,0.19,0.01
34,C82-86+C88,704,Non-Hodgkin lymphoma,2,983,911,1061,983,1.5,2.0,0.18
35,C90,704,Multiple myeloma,2,266,206,344,266,0.41,0.54,0.06
36,C91-95,704,Leukaemia,2,2161,2023,2309,2161,3.8,4.4,0.36
