Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,716,All cancers,2,7363,7136,7597,7363,150.9,91.9,15.9
1,C00-06,716,"Lip, oral cavity",2,29,17,51,29,0.64,0.36,0.08
2,C07-08,716,Salivary glands,2,12,5,29,12,0.27,0.15,0.04
3,C09-10,716,Oropharynx,2,6,1,33,6,0.11,0.07,0.01
4,C11,716,Nasopharynx,2,18,6,54,18,0.30,0.22,0.03
5,C12-13,716,Hypopharynx,2,2,0,29,2,0.05,0.02,0.01
6,C15,716,Oesophagus,2,437,360,531,437,9.9,5.5,1.2
7,C16,716,Stomach,2,399,323,493,399,9.0,5.0,1.0
41,C18-C21,716,Colorectum,2,296,-,-,296,6.3,3.7,0.72
11,C22,716,Liver and intrahepatic bile ducts,2,270,212,343,270,5.8,3.4,0.70
12,C23,716,Gallbladder,2,28,11,72,28,0.62,0.35,0.07
13,C25,716,Pancreas,2,98,63,152,98,2.2,1.2,0.25
14,C32,716,Larynx,2,6,1,25,6,0.13,0.07,0.02
15,C33-34,716,"Trachea, bronchus and lung",2,161,112,232,161,3.6,2.0,0.43
16,C43,716,Melanoma of skin,2,48,38,60,48,1.1,0.60,0.13
17,C44,716,Non-melanoma skin cancer,2,84,77,92,84,1.9,1.1,0.22
18,C45,716,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,716,Kaposi sarcoma,2,257,222,298,257,3.7,3.2,0.33
20,C50,716,Breast,2,915,864,969,915,18.6,11.4,2.1
21,C51,716,Vulva,2,80,65,99,80,1.5,1.0,0.17
22,C52,716,Vagina,2,26,15,46,26,0.51,0.32,0.05
23,C53,716,Cervix uteri,2,2318,2195,2448,2318,47.9,28.9,5.4
24,C54,716,Corpus uteri,2,108,99,118,108,2.5,1.4,0.26
25,C56,716,Ovary,2,228,191,272,228,5.0,2.9,0.59
29,C64,716,Kidney,2,52,28,98,52,0.91,0.65,0.10
30,C67,716,Bladder,2,52,37,74,52,1.2,0.65,0.14
31,C70-72,716," Brain, central nervous system",2,119,67,212,119,2.2,1.5,0.23
32,C73,716,Thyroid,2,39,34,45,39,0.85,0.49,0.07
33,C81,716,Hodgkin lymphoma,2,18,11,28,18,0.32,0.22,0.03
34,C82-86+C88,716,Non-Hodgkin lymphoma,2,368,320,423,368,6.5,4.6,0.68
35,C90,716,Multiple myeloma,2,143,117,175,143,3.3,1.8,0.42
36,C91-95,716,Leukaemia,2,117,79,174,117,2.1,1.5,0.23
