Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,36,All cancers,1,29368,29017,29723,29368,100.2,226.3,9.7
1,C00-06,36,"Lip, oral cavity",1,274,225,334,274,1.1,2.1,0.13
2,C07-08,36,Salivary glands,1,86,61,121,86,0.27,0.66,0.02
3,C09-10,36,Oropharynx,1,219,173,278,219,0.94,1.7,0.12
4,C11,36,Nasopharynx,1,67,45,101,67,0.30,0.52,0.04
5,C12-13,36,Hypopharynx,1,63,50,79,63,0.22,0.49,0.02
6,C15,36,Oesophagus,1,1130,1016,1257,1130,4.3,8.7,0.51
7,C16,36,Stomach,1,855,756,967,855,3.1,6.6,0.32
41,C18-C21,36,Colorectum,1,3119,-,-,3119,10.4,24.0,0.99
11,C22,36,Liver and intrahepatic bile ducts,1,1794,1624,1982,1794,7.1,13.8,0.85
12,C23,36,Gallbladder,1,65,41,103,65,0.22,0.50,0.02
13,C25,36,Pancreas,1,1878,1727,2042,1878,6.7,14.5,0.75
14,C32,36,Larynx,1,200,153,262,200,0.70,1.5,0.08
15,C33-34,36,"Trachea, bronchus and lung",1,5271,5050,5502,5271,18.5,40.6,2.1
16,C43,36,Melanoma of skin,1,862,788,943,862,2.9,6.6,0.26
17,C44,36,Non-melanoma skin cancer,1,520,445,608,520,1.6,4.0,0.13
18,C45,36,Mesothelioma,1,688,593,799,688,2.1,5.3,0.21
19,C46,36,Kaposi sarcoma,1,3,0,24,3,0.01,0.02,0.00
26,C60,36,Penis,1,31,15,65,31,0.11,0.24,0.01
27,C61,36,Prostate,1,4009,3783,4249,4009,10.8,30.9,0.76
28,C62,36,Testis,1,30,17,53,30,0.18,0.23,0.02
29,C64,36,Kidney,1,820,718,936,820,3.0,6.3,0.31
30,C67,36,Bladder,1,1008,898,1131,1008,2.8,7.8,0.20
31,C70-72,36," Brain, central nervous system",1,965,859,1085,965,4.6,7.4,0.51
32,C73,36,Thyroid,1,86,51,145,86,0.33,0.66,0.04
33,C81,36,Hodgkin lymphoma,1,51,28,91,51,0.20,0.39,0.02
34,C82-86+C88,36,Non-Hodgkin lymphoma,1,1101,982,1234,1101,3.6,8.5,0.33
35,C90,36,Multiple myeloma,1,659,571,760,659,2.1,5.1,0.22
36,C91-95,36,Leukaemia,1,1347,1217,1491,1347,4.5,10.4,0.42
