Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,52,All cancers,1,381,338,429,381,124.9,272.9,13.3
1,C00-06,52,"Lip, oral cavity",1,6,1,32,6,1.9,4.3,0.16
2,C07-08,52,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,52,Oropharynx,1,5,0,50,5,1.9,3.6,0.26
4,C11,52,Nasopharynx,1,1,0,10,1,0.63,0.72,0.05
5,C12-13,52,Hypopharynx,1,3,0,30,3,1.2,2.2,0.11
6,C15,52,Oesophagus,1,4,1,11,4,1.0,2.9,0.07
7,C16,52,Stomach,1,16,9,30,16,5.2,11.5,0.69
41,C18-C21,52,Colorectum,1,54,-,-,54,19.0,38.7,2.4
11,C22,52,Liver and intrahepatic bile ducts,1,8,2,26,8,3.2,5.7,0.37
12,C23,52,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,52,Pancreas,1,22,11,45,22,7.4,15.8,0.89
14,C32,52,Larynx,1,7,2,29,7,2.4,5.0,0.36
15,C33-34,52,"Trachea, bronchus and lung",1,26,15,45,26,10.1,18.6,1.2
16,C43,52,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,52,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,52,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,52,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,52,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,52,Prostate,1,131,95,180,131,36.3,93.8,3.5
28,C62,52,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,52,Kidney,1,12,4,33,12,5.1,8.6,0.65
30,C67,52,Bladder,1,7,2,27,7,2.1,5.0,0.31
31,C70-72,52," Brain, central nervous system",1,2,0,20,2,0.86,1.4,0.12
32,C73,52,Thyroid,1,1,0,10,1,0.25,0.72,0.00
33,C81,52,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,52,Non-Hodgkin lymphoma,1,6,1,31,6,2.0,4.3,0.16
35,C90,52,Multiple myeloma,1,11,4,28,11,4.1,7.9,0.53
36,C91-95,52,Leukaemia,1,14,6,31,14,5.6,10.0,0.63
