Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,76,All cancers,1,146702,145890,147519,146702,107.7,138.8,11.0
1,C00-06,76,"Lip, oral cavity",1,3531,3323,3752,3531,2.7,3.3,0.32
2,C07-08,76,Salivary glands,1,302,250,364,302,0.22,0.29,0.02
3,C09-10,76,Oropharynx,1,2961,2769,3166,2961,2.3,2.8,0.27
4,C11,76,Nasopharynx,1,361,295,442,361,0.28,0.34,0.03
5,C12-13,76,Hypopharynx,1,628,549,718,628,0.48,0.59,0.06
6,C15,76,Oesophagus,1,8317,7998,8649,8317,6.3,7.9,0.75
7,C16,76,Stomach,1,11613,11256,11982,11613,8.5,11.0,0.96
41,C18-C21,76,Colorectum,1,14485,-,-,14485,10.6,13.7,1.2
11,C22,76,Liver and intrahepatic bile ducts,1,7611,7315,7919,7611,5.7,7.2,0.67
12,C23,76,Gallbladder,1,419,356,493,419,0.30,0.40,0.03
13,C25,76,Pancreas,1,7295,6984,7620,7295,5.4,6.9,0.62
14,C32,76,Larynx,1,4802,4560,5056,4802,3.6,4.5,0.44
15,C33-34,76,"Trachea, bronchus and lung",1,21515,21024,22018,21515,15.7,20.4,1.9
16,C43,76,Melanoma of skin,1,1317,1202,1443,1317,0.96,1.3,0.10
17,C44,76,Non-melanoma skin cancer,1,1754,1638,1878,1754,1.2,1.7,0.10
18,C45,76,Mesothelioma,1,89,62,128,89,0.07,0.08,0.01
19,C46,76,Kaposi sarcoma,1,92,63,134,92,0.07,0.09,0.01
26,C60,76,Penis,1,547,474,631,547,0.40,0.52,0.04
27,C61,76,Prostate,1,19958,19555,20370,19958,13.5,18.9,1.1
28,C62,76,Testis,1,459,387,544,459,0.38,0.43,0.03
29,C64,76,Kidney,1,2814,2636,3004,2814,2.1,2.7,0.24
30,C67,76,Bladder,1,4389,4194,4593,4389,3.0,4.2,0.28
31,C70-72,76," Brain, central nervous system",1,5714,5454,5986,5714,4.5,5.4,0.49
32,C73,76,Thyroid,1,379,319,451,379,0.28,0.36,0.03
33,C81,76,Hodgkin lymphoma,1,363,302,436,363,0.28,0.34,0.03
34,C82-86+C88,76,Non-Hodgkin lymphoma,1,2905,2755,3063,2905,2.2,2.8,0.23
35,C90,76,Multiple myeloma,1,2382,2200,2579,2382,1.8,2.3,0.20
36,C91-95,76,Leukaemia,1,4892,4660,5136,4892,3.9,4.6,0.36
