Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,100,All cancers,1,10763,10516,11015,10763,148.8,323.9,16.1
1,C00-06,100,"Lip, oral cavity",1,141,105,190,141,2.3,4.2,0.28
2,C07-08,100,Salivary glands,1,21,14,32,21,0.29,0.63,0.03
3,C09-10,100,Oropharynx,1,67,43,104,67,1.1,2.0,0.14
4,C11,100,Nasopharynx,1,54,38,76,54,0.87,1.6,0.11
5,C12-13,100,Hypopharynx,1,50,37,68,50,0.81,1.5,0.10
6,C15,100,Oesophagus,1,171,135,217,171,2.6,5.2,0.32
7,C16,100,Stomach,1,623,532,729,623,8.6,18.8,1.0
41,C18-C21,100,Colorectum,1,1629,-,-,1629,20.9,49.0,2.4
11,C22,100,Liver and intrahepatic bile ducts,1,421,343,517,421,6.1,12.7,0.75
12,C23,100,Gallbladder,1,19,13,28,19,0.25,0.57,0.03
13,C25,100,Pancreas,1,652,574,740,652,9.2,19.6,1.1
14,C32,100,Larynx,1,322,272,381,322,5.0,9.7,0.62
15,C33-34,100,"Trachea, bronchus and lung",1,2538,2377,2710,2538,37.2,76.4,4.7
16,C43,100,Melanoma of skin,1,87,62,121,87,1.2,2.6,0.13
17,C44,100,Non-melanoma skin cancer,1,104,70,155,104,1.1,3.1,0.08
18,C45,100,Mesothelioma,1,33,14,76,33,0.50,0.99,0.07
19,C46,100,Kaposi sarcoma,1,5,2,13,5,0.06,0.15,0.01
26,C60,100,Penis,1,24,14,41,24,0.32,0.72,0.04
27,C61,100,Prostate,1,1302,1175,1443,1302,13.7,39.2,1.3
28,C62,100,Testis,1,35,24,50,35,0.83,1.1,0.07
29,C64,100,Kidney,1,265,216,326,265,3.9,8.0,0.48
30,C67,100,Bladder,1,537,454,635,537,6.3,16.2,0.70
31,C70-72,100," Brain, central nervous system",1,384,344,428,384,6.5,11.6,0.73
32,C73,100,Thyroid,1,16,10,27,16,0.22,0.48,0.03
33,C81,100,Hodgkin lymphoma,1,28,19,40,28,0.48,0.84,0.06
34,C82-86+C88,100,Non-Hodgkin lymphoma,1,176,127,244,176,2.8,5.3,0.30
35,C90,100,Multiple myeloma,1,89,68,116,89,1.2,2.7,0.15
36,C91-95,100,Leukaemia,1,246,214,283,246,3.8,7.4,0.41
