Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,160,All cancers,1,1629288,1626788,1631792,1629288,127.5,226.0,13.5
1,C00-06,160,"Lip, oral cavity",1,14044,12063,16351,14044,1.1,2.0,0.13
2,C07-08,160,Salivary glands,1,2299,1714,3083,2299,0.18,0.32,0.02
3,C09-10,160,Oropharynx,1,4031,2863,5676,4031,0.33,0.56,0.04
4,C11,160,Nasopharynx,1,21281,20191,22430,21281,1.8,3.0,0.22
5,C12-13,160,Hypopharynx,1,5450,3987,7449,5450,0.44,0.76,0.05
6,C15,160,Oesophagus,1,140390,138100,142718,140390,10.7,19.5,1.3
7,C16,160,Stomach,1,181562,179008,184152,181562,13.8,25.2,1.6
41,C18-C21,160,Colorectum,1,142599,-,-,142599,10.9,19.8,1.1
11,C22,160,Liver and intrahepatic bile ducts,1,229777,226367,233238,229777,19.1,31.9,2.2
12,C23,160,Gallbladder,1,9804,9138,10519,9804,0.74,1.4,0.08
13,C25,160,Pancreas,1,61071,56964,65474,61071,4.7,8.5,0.55
14,C32,160,Larynx,1,15024,13694,16483,15024,1.2,2.1,0.14
15,C33-34,160,"Trachea, bronchus and lung",1,515909,508009,523932,515909,39.5,71.6,4.6
16,C43,160,Melanoma of skin,1,2864,2213,3706,2864,0.23,0.40,0.02
17,C44,160,Non-melanoma skin cancer,1,7243,6152,8527,7243,0.54,1.0,0.05
18,C45,160,Mesothelioma,1,1020,876,1188,1020,0.08,0.14,0.01
19,C46,160,Kaposi sarcoma,1,258,36,1832,258,0.02,0.04,0.00
26,C60,160,Penis,1,2275,1573,3290,2275,0.18,0.32,0.02
27,C61,160,Prostate,1,47522,44039,51281,47522,3.3,6.6,0.23
28,C62,160,Testis,1,782,577,1060,782,0.07,0.11,0.01
29,C64,160,Kidney,1,16390,15342,17509,16390,1.3,2.3,0.15
30,C67,160,Bladder,1,32525,30597,34574,32525,2.3,4.5,0.19
31,C70-72,160," Brain, central nervous system",1,31579,30020,33219,31579,2.9,4.4,0.31
32,C73,160,Thyroid,1,4326,3451,5423,4326,0.35,0.60,0.04
33,C81,160,Hodgkin lymphoma,1,1203,1044,1386,1203,0.10,0.17,0.01
34,C82-86+C88,160,Non-Hodgkin lymphoma,1,23900,21772,26236,23900,2.0,3.3,0.22
35,C90,160,Multiple myeloma,1,10678,9536,11956,10678,0.85,1.5,0.10
36,C91-95,160,Leukaemia,1,29158,26931,31570,29158,2.8,4.0,0.27
