Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,188,All cancers,1,3246,3128,3368,3246,84.9,125.4,8.3
1,C00-06,188,"Lip, oral cavity",1,31,17,58,31,0.85,1.2,0.10
2,C07-08,188,Salivary glands,1,9,4,22,9,0.25,0.35,0.03
3,C09-10,188,Oropharynx,1,20,8,52,20,0.56,0.77,0.07
4,C11,188,Nasopharynx,1,6,2,16,6,0.22,0.23,0.02
5,C12-13,188,Hypopharynx,1,6,2,23,6,0.15,0.23,0.02
6,C15,188,Oesophagus,1,51,31,84,51,1.3,2.0,0.15
7,C16,188,Stomach,1,486,420,562,486,12.9,18.8,1.4
41,C18-C21,188,Colorectum,1,353,-,-,353,9.3,13.6,1.0
11,C22,188,Liver and intrahepatic bile ducts,1,240,192,299,240,6.3,9.3,0.71
12,C23,188,Gallbladder,1,10,5,22,10,0.26,0.39,0.03
13,C25,188,Pancreas,1,160,130,197,160,4.2,6.2,0.45
14,C32,188,Larynx,1,42,18,98,42,1.1,1.6,0.11
15,C33-34,188,"Trachea, bronchus and lung",1,253,208,308,253,6.6,9.8,0.73
16,C43,188,Melanoma of skin,1,33,19,56,33,0.85,1.3,0.08
17,C44,188,Non-melanoma skin cancer,1,52,37,73,52,1.2,2.0,0.11
18,C45,188,Mesothelioma,1,2,0,16,2,0.06,0.08,0.01
19,C46,188,Kaposi sarcoma,1,6,2,16,6,0.19,0.23,0.01
26,C60,188,Penis,1,11,5,24,11,0.27,0.43,0.02
27,C61,188,Prostate,1,487,423,561,487,11.1,18.8,0.79
28,C62,188,Testis,1,19,8,47,19,0.61,0.73,0.05
29,C64,188,Kidney,1,69,46,103,69,1.9,2.7,0.22
30,C67,188,Bladder,1,83,56,124,83,2.0,3.2,0.18
31,C70-72,188," Brain, central nervous system",1,109,79,151,109,3.4,4.2,0.36
32,C73,188,Thyroid,1,15,6,38,15,0.38,0.58,0.04
33,C81,188,Hodgkin lymphoma,1,23,8,63,23,0.64,0.89,0.06
34,C82-86+C88,188,Non-Hodgkin lymphoma,1,131,99,174,131,3.5,5.1,0.36
35,C90,188,Multiple myeloma,1,55,37,82,55,1.5,2.1,0.18
36,C91-95,188,Leukaemia,1,143,107,191,143,4.3,5.5,0.38
