Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,242,All cancers,1,324,284,369,324,80.3,70.4,8.2
1,C00-06,242,"Lip, oral cavity",1,4,0,42,4,0.92,0.87,0.09
2,C07-08,242,Salivary glands,1,1,0,10,1,0.18,0.22,0.02
3,C09-10,242,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,242,Nasopharynx,1,2,0,21,2,0.40,0.43,0.05
5,C12-13,242,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,242,Oesophagus,1,10,4,24,10,2.3,2.2,0.23
7,C16,242,Stomach,1,16,8,34,16,3.6,3.5,0.43
41,C18-C21,242,Colorectum,1,29,-,-,29,8.1,6.3,0.84
11,C22,242,Liver and intrahepatic bile ducts,1,56,37,85,56,13.1,12.2,1.5
12,C23,242,Gallbladder,1,3,0,31,3,0.75,0.65,0.14
13,C25,242,Pancreas,1,14,5,37,14,3.7,3.0,0.37
14,C32,242,Larynx,1,5,1,41,5,1.1,1.1,0.11
15,C33-34,242,"Trachea, bronchus and lung",1,36,20,64,36,8.9,7.8,1.0
16,C43,242,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,242,Non-melanoma skin cancer,1,1,0,10,1,0.61,0.22,0.00
18,C45,242,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,242,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,242,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,242,Prostate,1,46,30,71,46,13.2,10.0,1.3
28,C62,242,Testis,1,4,0,42,4,0.98,0.87,0.10
29,C64,242,Kidney,1,0,0,0,0,0.00,0.00,0.00
30,C67,242,Bladder,1,8,2,32,8,1.8,1.7,0.16
31,C70-72,242," Brain, central nervous system",1,0,0,0,0,0.00,0.00,0.00
32,C73,242,Thyroid,1,2,0,21,2,0.53,0.43,0.11
33,C81,242,Hodgkin lymphoma,1,1,0,10,1,0.21,0.22,0.02
34,C82-86+C88,242,Non-Hodgkin lymphoma,1,16,7,37,16,3.6,3.5,0.37
35,C90,242,Multiple myeloma,1,5,1,30,5,1.2,1.1,0.19
36,C91-95,242,Leukaemia,1,22,11,45,22,5.1,4.8,0.43
