Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,254,All cancers,1,138,110,173,138,109.7,88.7,9.4
1,C00-06,254,"Lip, oral cavity",1,1,1,1,1,0.74,0.64,0.12
2,C07-08,254,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,254,Oropharynx,1,2,2,2,2,1.5,1.3,0.25
4,C11,254,Nasopharynx,1,0,0,0,0,0.00,0.00,0.00
5,C12-13,254,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,254,Oesophagus,1,3,3,3,3,2.3,1.9,0.41
7,C16,254,Stomach,1,12,11,13,12,9.8,7.7,0.53
41,C18-C21,254,Colorectum,1,14,-,-,14,15.0,9.0,0.75
11,C22,254,Liver and intrahepatic bile ducts,1,11,11,11,11,7.7,7.1,0.96
12,C23,254,Gallbladder,1,1,1,2,1,0.74,0.64,0.12
13,C25,254,Pancreas,1,11,11,11,11,8.9,7.1,0.35
14,C32,254,Larynx,1,2,2,2,2,1.5,1.3,0.25
15,C33-34,254,"Trachea, bronchus and lung",1,26,26,26,26,19.6,16.7,2.1
16,C43,254,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,254,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,254,Mesothelioma,1,1,1,1,1,0.75,0.64,0.19
19,C46,254,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,254,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,254,Prostate,1,28,28,28,28,22.6,18.0,1.4
28,C62,254,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,254,Kidney,1,2,2,2,2,1.4,1.3,0.18
30,C67,254,Bladder,1,5,5,5,5,3.7,3.2,0.41
31,C70-72,254," Brain, central nervous system",1,2,2,2,2,1.4,1.3,0.18
32,C73,254,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,254,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,254,Non-Hodgkin lymphoma,1,3,3,3,3,2.1,1.9,0.25
35,C90,254,Multiple myeloma,1,1,1,1,1,0.63,0.64,0.08
36,C91-95,254,Leukaemia,1,6,6,6,6,4.4,3.9,0.62
