Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,258,All cancers,1,296,253,346,296,152.0,205.9,16.5
1,C00-06,258,"Lip, oral cavity",1,6,6,6,6,3.0,4.2,0.31
2,C07-08,258,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,258,Oropharynx,1,2,2,2,2,0.99,1.4,0.15
4,C11,258,Nasopharynx,1,3,1,10,3,1.6,2.1,0.21
5,C12-13,258,Hypopharynx,1,3,3,3,3,1.7,2.1,0.30
6,C15,258,Oesophagus,1,10,10,11,10,4.9,7.0,0.53
7,C16,258,Stomach,1,12,11,13,12,6.0,8.4,0.60
41,C18-C21,258,Colorectum,1,14,-,-,14,7.1,9.7,0.97
11,C22,258,Liver and intrahepatic bile ducts,1,22,21,23,22,11.3,15.3,1.3
12,C23,258,Gallbladder,1,3,1,12,3,1.5,2.1,0.23
13,C25,258,Pancreas,1,13,13,13,13,6.4,9.0,0.69
14,C32,258,Larynx,1,6,6,6,6,3.0,4.2,0.41
15,C33-34,258,"Trachea, bronchus and lung",1,101,98,104,101,51.9,70.3,6.4
16,C43,258,Melanoma of skin,1,1,1,1,1,0.54,0.70,0.09
17,C44,258,Non-melanoma skin cancer,1,0,0,0,0,0.00,0.00,0.00
18,C45,258,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,258,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,258,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,258,Prostate,1,38,38,38,38,19.7,26.4,1.9
28,C62,258,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,258,Kidney,1,5,5,5,5,2.6,3.5,0.34
30,C67,258,Bladder,1,6,6,6,6,3.1,4.2,0.39
31,C70-72,258," Brain, central nervous system",1,5,5,5,5,2.6,3.5,0.32
32,C73,258,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,258,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,258,Non-Hodgkin lymphoma,1,5,5,5,5,2.6,3.5,0.29
35,C90,258,Multiple myeloma,1,5,5,5,5,2.6,3.5,0.41
36,C91-95,258,Leukaemia,1,7,7,7,7,4.4,4.9,0.49
