Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,276,All cancers,1,137826,136928,138729,137826,118.7,332.0,12.5
1,C00-06,276,"Lip, oral cavity",1,1528,1396,1673,1528,1.6,3.7,0.20
2,C07-08,276,Salivary glands,1,290,232,362,290,0.24,0.70,0.02
3,C09-10,276,Oropharynx,1,1469,1353,1595,1469,1.6,3.5,0.21
4,C11,276,Nasopharynx,1,132,100,175,132,0.15,0.32,0.02
5,C12-13,276,Hypopharynx,1,839,753,935,839,0.91,2.0,0.12
6,C15,276,Oesophagus,1,4920,4670,5183,4920,4.9,11.9,0.61
7,C16,276,Stomach,1,5208,4939,5492,5208,4.8,12.6,0.54
41,C18-C21,276,Colorectum,1,14465,-,-,14465,12.1,34.9,1.3
11,C22,276,Liver and intrahepatic bile ducts,1,5848,5575,6135,5848,5.2,14.1,0.63
12,C23,276,Gallbladder,1,340,285,406,340,0.27,0.82,0.03
13,C25,276,Pancreas,1,10775,10344,11224,10775,9.6,26.0,1.1
14,C32,276,Larynx,1,1261,1133,1403,1261,1.2,3.0,0.15
15,C33-34,276,"Trachea, bronchus and lung",1,29018,28165,29897,29018,27.4,69.9,3.4
16,C43,276,Melanoma of skin,1,1934,1756,2130,1934,1.7,4.7,0.18
17,C44,276,Non-melanoma skin cancer,1,756,664,861,756,0.46,1.8,0.03
18,C45,276,Mesothelioma,1,1261,1165,1365,1261,0.90,3.0,0.10
19,C46,276,Kaposi sarcoma,1,14,8,26,14,0.02,0.03,0.00
26,C60,276,Penis,1,279,227,343,279,0.23,0.67,0.03
27,C61,276,Prostate,1,18015,17255,18809,18015,11.6,43.4,1.0
28,C62,276,Testis,1,176,141,220,176,0.31,0.42,0.03
29,C64,276,Kidney,1,5025,4773,5291,5025,4.1,12.1,0.44
30,C67,276,Bladder,1,6382,6064,6717,6382,4.3,15.4,0.40
31,C70-72,276," Brain, central nervous system",1,3781,3600,3971,3781,4.8,9.1,0.54
32,C73,276,Thyroid,1,266,215,330,266,0.24,0.64,0.03
33,C81,276,Hodgkin lymphoma,1,203,167,247,203,0.20,0.49,0.02
34,C82-86+C88,276,Non-Hodgkin lymphoma,1,4380,4125,4651,4380,3.5,10.6,0.38
35,C90,276,Multiple myeloma,1,2506,2350,2672,2506,2.0,6.0,0.22
36,C91-95,276,Leukaemia,1,5213,4980,5457,5213,4.3,12.6,0.42
