Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,624,All cancers,1,323,278,375,323,67.9,32.0,7.6
1,C00-06,624,"Lip, oral cavity",1,3,2,6,3,0.77,0.30,0.13
2,C07-08,624,Salivary glands,1,1,0,15,1,0.27,0.10,0.03
3,C09-10,624,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,624,Nasopharynx,1,1,0,15,1,0.13,0.10,0.01
5,C12-13,624,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,624,Oesophagus,1,5,0,65,5,1.2,0.49,0.20
7,C16,624,Stomach,1,26,13,53,26,5.8,2.6,0.68
41,C18-C21,624,Colorectum,1,19,-,-,19,4.0,1.9,0.50
11,C22,624,Liver and intrahepatic bile ducts,1,87,55,136,87,16.7,8.6,1.7
12,C23,624,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,624,Pancreas,1,6,1,53,6,1.4,0.59,0.21
14,C32,624,Larynx,1,3,1,8,3,0.74,0.30,0.10
15,C33-34,624,"Trachea, bronchus and lung",1,15,3,87,15,3.1,1.5,0.37
16,C43,624,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,624,Non-melanoma skin cancer,1,5,4,7,5,1.1,0.49,0.18
18,C45,624,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,624,Kaposi sarcoma,1,4,0,59,4,0.49,0.40,0.04
26,C60,624,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,624,Prostate,1,54,23,129,54,16.9,5.3,1.9
28,C62,624,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,624,Kidney,1,2,1,4,2,0.15,0.20,0.01
30,C67,624,Bladder,1,5,2,15,5,1.1,0.49,0.17
31,C70-72,624," Brain, central nervous system",1,13,3,53,13,2.2,1.3,0.25
32,C73,624,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,624,Hodgkin lymphoma,1,1,0,2,1,0.07,0.10,0.00
34,C82-86+C88,624,Non-Hodgkin lymphoma,1,16,8,33,16,2.3,1.6,0.27
35,C90,624,Multiple myeloma,1,1,0,15,1,0.27,0.10,0.03
36,C91-95,624,Leukaemia,1,6,2,22,6,0.55,0.59,0.04
