Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,388,All cancers,1,2423,2314,2537,2423,122.9,163.7,12.7
1,C00-06,388,"Lip, oral cavity",1,7,4,14,7,0.35,0.47,0.05
2,C07-08,388,Salivary glands,1,4,1,18,4,0.23,0.27,0.03
3,C09-10,388,Oropharynx,1,13,5,34,13,0.70,0.88,0.09
4,C11,388,Nasopharynx,1,8,3,22,8,0.44,0.54,0.06
5,C12-13,388,Hypopharynx,1,2,0,19,2,0.13,0.14,0.02
6,C15,388,Oesophagus,1,54,41,70,54,2.7,3.7,0.31
7,C16,388,Stomach,1,164,138,195,164,8.6,11.1,1.0
41,C18-C21,388,Colorectum,1,312,-,-,312,16.3,21.1,1.9
11,C22,388,Liver and intrahepatic bile ducts,1,47,35,64,47,2.5,3.2,0.28
12,C23,388,Gallbladder,1,6,2,16,6,0.33,0.41,0.03
13,C25,388,Pancreas,1,71,54,94,71,3.9,4.8,0.50
14,C32,388,Larynx,1,36,25,52,36,1.9,2.4,0.25
15,C33-34,388,"Trachea, bronchus and lung",1,297,216,408,297,16.1,20.1,2.0
16,C43,388,Melanoma of skin,1,4,2,8,4,0.20,0.27,0.02
17,C44,388,Non-melanoma skin cancer,1,6,2,23,6,0.33,0.41,0.05
18,C45,388,Mesothelioma,1,2,0,19,2,0.12,0.14,0.02
19,C46,388,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,388,Penis,1,7,4,13,7,0.32,0.47,0.04
27,C61,388,Prostate,1,829,756,909,829,37.1,56.0,3.3
28,C62,388,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,388,Kidney,1,13,7,25,13,0.76,0.88,0.07
30,C67,388,Bladder,1,38,28,52,38,2.0,2.6,0.23
31,C70-72,388," Brain, central nervous system",1,29,16,53,29,1.8,2.0,0.18
32,C73,388,Thyroid,1,3,1,6,3,0.20,0.20,0.02
33,C81,388,Hodgkin lymphoma,1,1,0,10,1,0.07,0.07,0.01
34,C82-86+C88,388,Non-Hodgkin lymphoma,1,86,63,117,86,5.0,5.8,0.55
35,C90,388,Multiple myeloma,1,78,60,101,78,4.1,5.3,0.50
36,C91-95,388,Leukaemia,1,66,47,92,66,3.8,4.5,0.38
