Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,392,All cancers,1,240823,239792,241858,240823,100.7,392.9,9.7
1,C00-06,392,"Lip, oral cavity",1,1888,1749,2038,1888,0.91,3.1,0.09
2,C07-08,392,Salivary glands,1,466,389,558,466,0.25,0.76,0.03
3,C09-10,392,Oropharynx,1,1197,1063,1348,1197,0.62,2.0,0.08
4,C11,392,Nasopharynx,1,265,209,336,265,0.16,0.43,0.02
5,C12-13,392,Hypopharynx,1,2056,1908,2215,2056,0.97,3.4,0.12
6,C15,392,Oesophagus,1,9825,9489,10172,9825,4.5,16.0,0.54
7,C16,392,Stomach,1,27625,27132,28127,27625,10.8,45.1,1.0
41,C18-C21,392,Colorectum,1,31065,-,-,31065,14.2,50.7,1.5
11,C22,392,Liver and intrahepatic bile ducts,1,17225,16807,17653,17225,7.0,28.1,0.67
12,C23,392,Gallbladder,1,2930,2720,3156,2930,1.1,4.8,0.11
13,C25,392,Pancreas,1,20755,20286,21235,20755,9.6,33.9,1.1
14,C32,392,Larynx,1,930,815,1061,930,0.37,1.5,0.04
15,C33-34,392,"Trachea, bronchus and lung",1,56905,55563,58279,56905,22.7,92.8,2.3
16,C43,392,Melanoma of skin,1,378,309,462,378,0.20,0.62,0.02
17,C44,392,Non-melanoma skin cancer,1,598,521,687,598,0.23,0.98,0.02
18,C45,392,Mesothelioma,1,1435,1292,1593,1435,0.64,2.3,0.07
19,C46,392,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,392,Penis,1,177,131,239,177,0.07,0.29,0.01
27,C61,392,Prostate,1,14095,13578,14632,14095,4.4,23.0,0.29
28,C62,392,Testis,1,72,47,111,72,0.08,0.12,0.01
29,C64,392,Kidney,1,4461,4217,4719,4461,2.0,7.3,0.21
30,C67,392,Bladder,1,7221,6901,7556,7221,2.5,11.8,0.20
31,C70-72,392," Brain, central nervous system",1,1674,1529,1833,1674,1.4,2.7,0.13
32,C73,392,Thyroid,1,666,571,777,666,0.28,1.1,0.03
33,C81,392,Hodgkin lymphoma,1,178,135,235,178,0.09,0.29,0.01
34,C82-86+C88,392,Non-Hodgkin lymphoma,1,8442,8082,8818,8442,3.4,13.8,0.31
35,C90,392,Multiple myeloma,1,2430,2251,2623,2430,0.97,4.0,0.09
36,C91-95,392,Leukaemia,1,6040,5742,6354,6040,3.0,9.9,0.30
