Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,400,All cancers,1,3453,3299,3615,3453,94.5,66.2,10.0
1,C00-06,400,"Lip, oral cavity",1,31,24,41,31,0.83,0.59,0.10
2,C07-08,400,Salivary glands,1,10,6,18,10,0.30,0.19,0.03
3,C09-10,400,Oropharynx,1,3,1,18,3,0.10,0.06,0.02
4,C11,400,Nasopharynx,1,43,31,60,43,1.0,0.82,0.11
5,C12-13,400,Hypopharynx,1,2,1,5,2,0.06,0.04,0.01
6,C15,400,Oesophagus,1,46,24,89,46,1.4,0.88,0.15
7,C16,400,Stomach,1,238,189,300,238,6.5,4.6,0.77
41,C18-C21,400,Colorectum,1,324,-,-,324,9.0,6.2,1.0
11,C22,400,Liver and intrahepatic bile ducts,1,107,69,166,107,2.9,2.1,0.36
12,C23,400,Gallbladder,1,16,7,37,16,0.50,0.31,0.06
13,C25,400,Pancreas,1,171,122,240,171,4.6,3.3,0.55
14,C32,400,Larynx,1,120,97,148,120,3.4,2.3,0.42
15,C33-34,400,"Trachea, bronchus and lung",1,791,682,918,791,22.5,15.2,2.7
16,C43,400,Melanoma of skin,1,3,2,5,3,0.07,0.06,0.01
17,C44,400,Non-melanoma skin cancer,1,28,24,32,28,0.85,0.54,0.08
18,C45,400,Mesothelioma,1,11,3,45,11,0.30,0.21,0.04
19,C46,400,Kaposi sarcoma,1,2,1,3,2,0.05,0.04,0.00
26,C60,400,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,400,Prostate,1,154,144,165,154,4.9,3.0,0.28
28,C62,400,Testis,1,11,10,12,11,0.21,0.21,0.02
29,C64,400,Kidney,1,79,66,95,79,2.1,1.5,0.24
30,C67,400,Bladder,1,222,206,240,222,6.9,4.3,0.72
31,C70-72,400," Brain, central nervous system",1,221,178,275,221,5.1,4.2,0.53
32,C73,400,Thyroid,1,14,13,15,14,0.44,0.27,0.05
33,C81,400,Hodgkin lymphoma,1,34,30,38,34,0.73,0.65,0.07
34,C82-86+C88,400,Non-Hodgkin lymphoma,1,158,138,181,158,4.0,3.0,0.46
35,C90,400,Multiple myeloma,1,72,51,102,72,2.1,1.4,0.25
36,C91-95,400,Leukaemia,1,217,182,258,217,5.2,4.2,0.51
