Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,417,All cancers,1,2454,2353,2559,2454,105.9,73.7,12.4
1,C00-06,417,"Lip, oral cavity",1,46,30,72,46,2.1,1.4,0.24
2,C07-08,417,Salivary glands,1,9,3,25,9,0.37,0.27,0.06
3,C09-10,417,Oropharynx,1,12,4,39,12,0.52,0.36,0.08
4,C11,417,Nasopharynx,1,18,8,42,18,0.79,0.54,0.08
5,C12-13,417,Hypopharynx,1,14,5,37,14,0.64,0.42,0.08
6,C15,417,Oesophagus,1,105,80,138,105,5.0,3.2,0.61
7,C16,417,Stomach,1,535,467,613,535,22.6,16.1,2.8
41,C18-C21,417,Colorectum,1,144,-,-,144,6.6,4.3,0.77
11,C22,417,Liver and intrahepatic bile ducts,1,251,215,293,251,10.8,7.5,1.4
12,C23,417,Gallbladder,1,10,4,24,10,0.47,0.30,0.07
13,C25,417,Pancreas,1,119,90,158,119,5.1,3.6,0.65
14,C32,417,Larynx,1,46,28,75,46,2.0,1.4,0.29
15,C33-34,417,"Trachea, bronchus and lung",1,466,403,539,466,20.2,14.0,2.7
16,C43,417,Melanoma of skin,1,13,5,32,13,0.63,0.39,0.06
17,C44,417,Non-melanoma skin cancer,1,23,11,47,23,1.3,0.69,0.11
18,C45,417,Mesothelioma,1,2,1,8,2,0.08,0.06,0.01
19,C46,417,Kaposi sarcoma,1,4,1,24,4,0.17,0.12,0.03
26,C60,417,Penis,1,1,0,8,1,0.03,0.03,0.00
27,C61,417,Prostate,1,77,53,111,77,4.5,2.3,0.47
28,C62,417,Testis,1,9,3,30,9,0.26,0.27,0.03
29,C64,417,Kidney,1,58,37,91,58,2.6,1.7,0.33
30,C67,417,Bladder,1,46,29,74,46,2.2,1.4,0.26
31,C70-72,417," Brain, central nervous system",1,104,76,142,104,3.8,3.1,0.43
32,C73,417,Thyroid,1,3,1,10,3,0.14,0.09,0.03
33,C81,417,Hodgkin lymphoma,1,9,3,25,9,0.34,0.27,0.05
34,C82-86+C88,417,Non-Hodgkin lymphoma,1,36,21,63,36,1.4,1.1,0.15
35,C90,417,Multiple myeloma,1,5,1,32,5,0.20,0.15,0.03
36,C91-95,417,Leukaemia,1,89,62,128,89,2.9,2.7,0.27
