Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,422,All cancers,1,3950,3785,4123,3950,101.1,117.2,10.1
1,C00-06,422,"Lip, oral cavity",1,26,20,34,26,0.66,0.77,0.07
2,C07-08,422,Salivary glands,1,15,8,30,15,0.38,0.45,0.04
3,C09-10,422,Oropharynx,1,2,0,16,2,0.06,0.06,0.01
4,C11,422,Nasopharynx,1,16,9,28,16,0.43,0.47,0.05
5,C12-13,422,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,422,Oesophagus,1,30,13,67,30,0.77,0.89,0.10
7,C16,422,Stomach,1,145,104,202,145,3.7,4.3,0.40
41,C18-C21,422,Colorectum,1,354,-,-,354,9.1,10.5,0.96
11,C22,422,Liver and intrahepatic bile ducts,1,102,63,166,102,2.6,3.0,0.32
12,C23,422,Gallbladder,1,23,12,43,23,0.59,0.68,0.06
13,C25,422,Pancreas,1,181,130,252,181,4.6,5.4,0.54
14,C32,422,Larynx,1,73,56,95,73,1.9,2.2,0.23
15,C33-34,422,"Trachea, bronchus and lung",1,905,795,1031,905,23.1,26.9,2.6
16,C43,422,Melanoma of skin,1,13,10,17,13,0.33,0.39,0.03
17,C44,422,Non-melanoma skin cancer,1,89,79,101,89,2.2,2.6,0.13
18,C45,422,Mesothelioma,1,24,9,66,24,0.62,0.71,0.08
19,C46,422,Kaposi sarcoma,1,1,1,1,1,0.03,0.03,0.00
26,C60,422,Penis,1,4,2,8,4,0.10,0.12,0.01
27,C61,422,Prostate,1,370,352,388,370,9.3,11.0,0.57
28,C62,422,Testis,1,16,15,17,16,0.43,0.47,0.04
29,C64,422,Kidney,1,98,83,116,98,2.5,2.9,0.30
30,C67,422,Bladder,1,242,220,266,242,6.1,7.2,0.59
31,C70-72,422," Brain, central nervous system",1,155,115,208,155,4.1,4.6,0.43
32,C73,422,Thyroid,1,23,22,25,23,0.58,0.68,0.06
33,C81,422,Hodgkin lymphoma,1,34,30,38,34,0.88,1.0,0.09
34,C82-86+C88,422,Non-Hodgkin lymphoma,1,185,162,211,185,4.8,5.5,0.51
35,C90,422,Multiple myeloma,1,106,76,148,106,2.7,3.2,0.33
36,C91-95,422,Leukaemia,1,230,188,282,230,6.1,6.8,0.63
