Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,440,All cancers,1,4639,4480,4804,4639,181.6,376.7,19.7
1,C00-06,440,"Lip, oral cavity",1,129,98,170,129,6.0,10.5,0.74
2,C07-08,440,Salivary glands,1,12,6,22,12,0.48,0.97,0.06
3,C09-10,440,Oropharynx,1,66,51,86,66,3.1,5.4,0.39
4,C11,440,Nasopharynx,1,12,6,23,12,0.42,0.97,0.04
5,C12-13,440,Hypopharynx,1,77,54,110,77,3.6,6.3,0.45
6,C15,440,Oesophagus,1,186,153,226,186,8.0,15.1,1.0
7,C16,440,Stomach,1,359,316,408,359,13.9,29.2,1.7
41,C18-C21,440,Colorectum,1,467,-,-,467,16.3,37.9,1.9
11,C22,440,Liver and intrahepatic bile ducts,1,178,141,224,178,7.9,14.5,0.98
12,C23,440,Gallbladder,1,12,6,23,12,0.41,0.97,0.05
13,C25,440,Pancreas,1,260,221,305,260,10.3,21.1,1.3
14,C32,440,Larynx,1,121,93,157,121,5.2,9.8,0.67
15,C33-34,440,"Trachea, bronchus and lung",1,934,857,1017,934,38.0,75.8,4.8
16,C43,440,Melanoma of skin,1,53,40,71,53,2.3,4.3,0.26
17,C44,440,Non-melanoma skin cancer,1,24,15,38,24,0.72,2.0,0.07
18,C45,440,Mesothelioma,1,4,2,9,4,0.14,0.32,0.01
19,C46,440,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,440,Penis,1,9,5,17,9,0.30,0.73,0.03
27,C61,440,Prostate,1,545,483,615,545,17.2,44.3,1.8
28,C62,440,Testis,1,3,1,7,3,0.27,0.24,0.02
29,C64,440,Kidney,1,178,147,216,178,6.9,14.5,0.86
30,C67,440,Bladder,1,215,180,258,215,6.9,17.5,0.75
31,C70-72,440," Brain, central nervous system",1,130,104,162,130,7.0,10.6,0.74
32,C73,440,Thyroid,1,7,3,14,7,0.27,0.57,0.03
33,C81,440,Hodgkin lymphoma,1,6,2,15,6,0.21,0.49,0.02
34,C82-86+C88,440,Non-Hodgkin lymphoma,1,79,60,104,79,3.0,6.4,0.34
35,C90,440,Multiple myeloma,1,62,47,81,62,2.3,5.0,0.28
36,C91-95,440,Leukaemia,1,122,98,151,122,5.0,9.9,0.54
