Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,496,All cancers,1,2719,2608,2835,2719,227.5,163.6,23.6
1,C00-06,496,"Lip, oral cavity",1,16,8,31,16,1.3,0.96,0.11
2,C07-08,496,Salivary glands,1,7,4,14,7,0.52,0.42,0.05
3,C09-10,496,Oropharynx,1,10,6,18,10,0.90,0.60,0.08
4,C11,496,Nasopharynx,1,9,4,21,9,0.64,0.54,0.05
5,C12-13,496,Hypopharynx,1,2,1,5,2,0.15,0.12,0.02
6,C15,496,Oesophagus,1,213,185,245,213,19.6,12.8,2.4
7,C16,496,Stomach,1,550,504,600,550,46.6,33.1,5.6
41,C18-C21,496,Colorectum,1,54,-,-,54,4.1,3.3,0.49
11,C22,496,Liver and intrahepatic bile ducts,1,1158,1087,1234,1158,94.1,69.7,10.7
12,C23,496,Gallbladder,1,5,2,13,5,0.46,0.30,0.03
13,C25,496,Pancreas,1,74,58,95,74,6.0,4.5,0.67
14,C32,496,Larynx,1,23,15,36,23,2.3,1.4,0.21
15,C33-34,496,"Trachea, bronchus and lung",1,355,318,396,355,31.6,21.4,3.7
16,C43,496,Melanoma of skin,1,1,0,9,1,0.06,0.06,0.01
17,C44,496,Non-melanoma skin cancer,1,2,0,9,2,0.18,0.12,0.03
18,C45,496,Mesothelioma,1,3,0,26,3,0.26,0.18,0.04
19,C46,496,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,496,Penis,1,3,1,11,3,0.22,0.18,0.04
27,C61,496,Prostate,1,19,12,29,19,2.1,1.1,0.12
28,C62,496,Testis,1,4,1,12,4,0.30,0.24,0.02
29,C64,496,Kidney,1,25,16,39,25,2.0,1.5,0.22
30,C67,496,Bladder,1,17,10,28,17,1.6,1.0,0.17
31,C70-72,496," Brain, central nervous system",1,42,30,59,42,2.9,2.5,0.34
32,C73,496,Thyroid,1,4,0,35,4,0.30,0.24,0.04
33,C81,496,Hodgkin lymphoma,1,5,2,13,5,0.51,0.30,0.05
34,C82-86+C88,496,Non-Hodgkin lymphoma,1,15,9,26,15,1.1,0.90,0.14
35,C90,496,Multiple myeloma,1,4,1,12,4,0.20,0.24,0.02
36,C91-95,496,Leukaemia,1,21,13,33,21,1.4,1.3,0.15
