Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,499,All cancers,1,847,780,920,847,149.7,272.7,15.7
1,C00-06,499,"Lip, oral cavity",1,6,3,11,6,1.2,1.9,0.19
2,C07-08,499,Salivary glands,1,1,0,5,1,0.17,0.32,0.03
3,C09-10,499,Oropharynx,1,4,1,12,4,0.76,1.3,0.14
4,C11,499,Nasopharynx,1,1,0,10,1,0.20,0.32,0.03
5,C12-13,499,Hypopharynx,1,5,2,10,5,1.1,1.6,0.13
6,C15,499,Oesophagus,1,15,8,26,15,2.8,4.8,0.34
7,C16,499,Stomach,1,28,20,38,28,5.0,9.0,0.65
41,C18-C21,499,Colorectum,1,95,-,-,95,16.1,30.6,1.7
11,C22,499,Liver and intrahepatic bile ducts,1,34,22,53,34,5.7,11.0,0.71
12,C23,499,Gallbladder,1,2,0,8,2,0.36,0.64,0.03
13,C25,499,Pancreas,1,39,28,54,39,6.8,12.6,0.79
14,C32,499,Larynx,1,27,18,40,27,4.7,8.7,0.55
15,C33-34,499,"Trachea, bronchus and lung",1,257,223,296,257,47.5,82.8,5.8
16,C43,499,Melanoma of skin,1,14,8,25,14,2.5,4.5,0.29
17,C44,499,Non-melanoma skin cancer,1,7,2,26,7,1.1,2.3,0.08
18,C45,499,Mesothelioma,1,1,0,10,1,0.27,0.32,0.02
19,C46,499,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,499,Penis,1,1,0,3,1,0.17,0.32,0.03
27,C61,499,Prostate,1,91,70,118,91,13.7,29.3,1.0
28,C62,499,Testis,1,2,0,10,2,0.57,0.64,0.05
29,C64,499,Kidney,1,15,10,22,15,2.6,4.8,0.36
30,C67,499,Bladder,1,36,25,51,36,5.6,11.6,0.47
31,C70-72,499," Brain, central nervous system",1,43,24,76,43,9.1,13.9,0.96
32,C73,499,Thyroid,1,4,0,40,4,0.57,1.3,0.04
33,C81,499,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,499,Non-Hodgkin lymphoma,1,17,10,28,17,3.3,5.5,0.47
35,C90,499,Multiple myeloma,1,5,2,11,5,0.94,1.6,0.08
36,C91-95,499,Leukaemia,1,23,14,38,23,4.0,7.4,0.40
