Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,508,All cancers,1,7391,7163,7626,7391,87.3,45.9,8.7
1,C00-06,508,"Lip, oral cavity",1,91,72,115,91,1.3,0.57,0.13
2,C07-08,508,Salivary glands,1,30,20,46,30,0.41,0.19,0.04
3,C09-10,508,Oropharynx,1,76,50,116,76,0.90,0.47,0.09
4,C11,508,Nasopharynx,1,9,4,22,9,0.06,0.06,0.00
5,C12-13,508,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,508,Oesophagus,1,533,450,632,533,7.9,3.3,0.94
7,C16,508,Stomach,1,67,40,113,67,1.1,0.42,0.12
41,C18-C21,508,Colorectum,1,173,-,-,173,2.4,1.1,0.25
11,C22,508,Liver and intrahepatic bile ducts,1,780,677,899,780,8.5,4.8,0.88
12,C23,508,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,508,Pancreas,1,72,42,123,72,1.1,0.45,0.13
14,C32,508,Larynx,1,42,27,66,42,0.69,0.26,0.09
15,C33-34,508,"Trachea, bronchus and lung",1,139,95,203,139,2.3,0.86,0.27
16,C43,508,Melanoma of skin,1,14,11,17,14,0.14,0.09,0.01
17,C44,508,Non-melanoma skin cancer,1,147,133,162,147,2.3,0.91,0.29
18,C45,508,Mesothelioma,1,10,2,56,10,0.09,0.06,0.01
19,C46,508,Kaposi sarcoma,1,1704,1584,1833,1704,12.8,10.6,1.1
26,C60,508,Penis,1,67,55,81,67,0.86,0.42,0.09
27,C61,508,Prostate,1,1037,960,1120,1037,19.4,6.4,2.2
28,C62,508,Testis,1,17,11,27,17,0.12,0.11,0.01
29,C64,508,Kidney,1,65,45,94,65,0.35,0.40,0.02
30,C67,508,Bladder,1,240,209,275,240,4.2,1.5,0.47
31,C70-72,508," Brain, central nervous system",1,22,10,48,22,0.20,0.14,0.02
32,C73,508,Thyroid,1,7,6,9,7,0.09,0.04,0.01
33,C81,508,Hodgkin lymphoma,1,75,59,95,75,0.58,0.47,0.06
34,C82-86+C88,508,Non-Hodgkin lymphoma,1,452,391,522,452,4.5,2.8,0.41
35,C90,508,Multiple myeloma,1,24,13,46,24,0.26,0.15,0.03
36,C91-95,508,Leukaemia,1,192,157,235,192,1.7,1.2,0.14
