Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,524,All cancers,1,6936,6716,7164,6936,58.1,49.4,6.5
1,C00-06,524,"Lip, oral cavity",1,360,359,361,360,3.0,2.6,0.38
2,C07-08,524,Salivary glands,1,75,67,85,75,0.61,0.53,0.06
3,C09-10,524,Oropharynx,1,30,30,30,30,0.26,0.21,0.03
4,C11,524,Nasopharynx,1,15,15,15,15,0.12,0.11,0.01
5,C12-13,524,Hypopharynx,1,33,33,33,33,0.28,0.24,0.03
6,C15,524,Oesophagus,1,147,146,148,147,1.3,1.1,0.15
7,C16,524,Stomach,1,990,964,1017,990,8.4,7.1,1.0
41,C18-C21,524,Colorectum,1,410,-,-,410,3.4,2.9,0.36
11,C22,524,Liver and intrahepatic bile ducts,1,417,403,431,417,3.5,3.0,0.42
12,C23,524,Gallbladder,1,259,219,307,259,2.2,1.9,0.26
13,C25,524,Pancreas,1,142,133,151,142,1.2,1.0,0.15
14,C32,524,Larynx,1,207,205,209,207,1.8,1.5,0.22
15,C33-34,524,"Trachea, bronchus and lung",1,1389,1352,1427,1389,11.8,9.9,1.3
16,C43,524,Melanoma of skin,1,12,11,13,12,0.10,0.09,0.01
17,C44,524,Non-melanoma skin cancer,1,55,53,57,55,0.44,0.39,0.04
18,C45,524,Mesothelioma,1,3,3,3,3,0.02,0.02,0.00
19,C46,524,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,524,Penis,1,89,86,92,89,0.76,0.63,0.09
27,C61,524,Prostate,1,179,177,181,179,1.5,1.3,0.17
28,C62,524,Testis,1,7,7,7,7,0.05,0.05,0.00
29,C64,524,Kidney,1,51,50,52,51,0.44,0.36,0.05
30,C67,524,Bladder,1,170,166,175,170,1.4,1.2,0.15
31,C70-72,524," Brain, central nervous system",1,167,163,171,167,1.3,1.2,0.14
32,C73,524,Thyroid,1,118,108,130,118,0.98,0.84,0.11
33,C81,524,Hodgkin lymphoma,1,12,12,12,12,0.09,0.09,0.01
34,C82-86+C88,524,Non-Hodgkin lymphoma,1,228,224,233,228,1.9,1.6,0.21
35,C90,524,Multiple myeloma,1,55,54,56,55,0.47,0.39,0.06
36,C91-95,524,Leukaemia,1,278,274,282,278,2.2,2.0,0.22
