Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,591,All cancers,1,1963,1870,2061,1963,71.0,88.2,7.4
1,C00-06,591,"Lip, oral cavity",1,20,9,46,20,0.72,0.90,0.07
2,C07-08,591,Salivary glands,1,3,0,26,3,0.10,0.13,0.01
3,C09-10,591,Oropharynx,1,22,10,49,22,0.80,0.99,0.09
4,C11,591,Nasopharynx,1,7,2,29,7,0.29,0.31,0.04
5,C12-13,591,Hypopharynx,1,10,3,32,10,0.39,0.45,0.06
6,C15,591,Oesophagus,1,36,20,65,36,1.3,1.6,0.15
7,C16,591,Stomach,1,227,182,283,227,8.3,10.2,0.92
41,C18-C21,591,Colorectum,1,199,-,-,199,7.5,9.0,0.88
11,C22,591,Liver and intrahepatic bile ducts,1,102,73,142,102,3.7,4.6,0.41
12,C23,591,Gallbladder,1,9,3,31,9,0.35,0.40,0.04
13,C25,591,Pancreas,1,84,59,120,84,3.1,3.8,0.37
14,C32,591,Larynx,1,24,12,47,24,0.84,1.1,0.09
15,C33-34,591,"Trachea, bronchus and lung",1,196,154,249,196,7.1,8.8,0.84
16,C43,591,Melanoma of skin,1,26,13,52,26,0.96,1.2,0.12
17,C44,591,Non-melanoma skin cancer,1,16,7,35,16,0.53,0.72,0.05
18,C45,591,Mesothelioma,1,2,0,17,2,0.05,0.09,0.00
19,C46,591,Kaposi sarcoma,1,7,2,22,7,0.30,0.31,0.02
26,C60,591,Penis,1,10,3,32,10,0.36,0.45,0.03
27,C61,591,Prostate,1,390,333,456,390,12.4,17.5,1.1
28,C62,591,Testis,1,5,1,26,5,0.18,0.22,0.01
29,C64,591,Kidney,1,58,37,90,58,2.3,2.6,0.28
30,C67,591,Bladder,1,28,16,50,28,0.91,1.3,0.09
31,C70-72,591," Brain, central nervous system",1,43,26,72,43,1.7,1.9,0.19
32,C73,591,Thyroid,1,9,3,26,9,0.38,0.40,0.05
33,C81,591,Hodgkin lymphoma,1,14,5,43,14,0.56,0.63,0.06
34,C82-86+C88,591,Non-Hodgkin lymphoma,1,71,48,105,71,2.7,3.2,0.29
35,C90,591,Multiple myeloma,1,41,25,68,41,1.5,1.8,0.17
36,C91-95,591,Leukaemia,1,97,68,138,97,3.9,4.4,0.37
