Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,600,All cancers,1,3532,3403,3666,3532,99.8,95.2,10.0
1,C00-06,600,"Lip, oral cavity",1,44,27,71,44,1.3,1.2,0.16
2,C07-08,600,Salivary glands,1,11,4,30,11,0.30,0.30,0.03
3,C09-10,600,Oropharynx,1,46,30,71,46,1.4,1.2,0.18
4,C11,600,Nasopharynx,1,10,4,23,10,0.31,0.27,0.04
5,C12-13,600,Hypopharynx,1,12,5,29,12,0.36,0.32,0.04
6,C15,600,Oesophagus,1,156,124,196,156,4.6,4.2,0.54
7,C16,600,Stomach,1,223,182,273,223,6.4,6.0,0.69
41,C18-C21,600,Colorectum,1,354,-,-,354,10.0,9.5,1.0
11,C22,600,Liver and intrahepatic bile ducts,1,100,74,135,100,2.9,2.7,0.34
12,C23,600,Gallbladder,1,8,4,17,8,0.23,0.22,0.02
13,C25,600,Pancreas,1,169,135,212,169,4.9,4.6,0.55
14,C32,600,Larynx,1,75,52,109,75,2.2,2.0,0.26
15,C33-34,600,"Trachea, bronchus and lung",1,628,564,699,628,18.0,16.9,2.3
16,C43,600,Melanoma of skin,1,47,29,76,47,1.4,1.3,0.14
17,C44,600,Non-melanoma skin cancer,1,45,30,68,45,1.2,1.2,0.09
18,C45,600,Mesothelioma,1,1,0,9,1,0.03,0.03,0.00
19,C46,600,Kaposi sarcoma,1,9,4,21,9,0.24,0.24,0.02
26,C60,600,Penis,1,36,22,60,36,1.1,0.97,0.12
27,C61,600,Prostate,1,650,578,731,650,17.3,17.5,1.3
28,C62,600,Testis,1,34,20,57,34,0.86,0.92,0.07
29,C64,600,Kidney,1,55,36,84,55,1.6,1.5,0.19
30,C67,600,Bladder,1,58,38,88,58,1.6,1.6,0.15
31,C70-72,600," Brain, central nervous system",1,86,62,120,86,2.5,2.3,0.27
32,C73,600,Thyroid,1,19,10,37,19,0.54,0.51,0.06
33,C81,600,Hodgkin lymphoma,1,18,8,39,18,0.48,0.49,0.04
34,C82-86+C88,600,Non-Hodgkin lymphoma,1,94,70,127,94,2.7,2.5,0.28
35,C90,600,Multiple myeloma,1,45,28,72,45,1.3,1.2,0.15
36,C91-95,600,Leukaemia,1,165,129,211,165,4.6,4.5,0.41
