Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,620,All cancers,1,19510,19164,19862,19510,148.8,406.4,15.1
1,C00-06,620,"Lip, oral cavity",1,305,241,386,305,3.1,6.4,0.36
2,C07-08,620,Salivary glands,1,43,31,60,43,0.27,0.90,0.03
3,C09-10,620,Oropharynx,1,256,201,327,256,2.6,5.3,0.32
4,C11,620,Nasopharynx,1,53,39,72,53,0.57,1.1,0.06
5,C12-13,620,Hypopharynx,1,180,136,239,180,2.0,3.8,0.24
6,C15,620,Oesophagus,1,548,482,623,548,5.1,11.4,0.62
7,C16,620,Stomach,1,1506,1383,1640,1506,11.4,31.4,1.3
41,C18-C21,620,Colorectum,1,2668,-,-,2668,18.6,55.6,2.0
11,C22,620,Liver and intrahepatic bile ducts,1,1167,1059,1286,1167,10.0,24.3,1.2
12,C23,620,Gallbladder,1,42,29,61,42,0.30,0.87,0.03
13,C25,620,Pancreas,1,1056,950,1173,1056,8.2,22.0,0.97
14,C32,620,Larynx,1,359,305,422,359,3.4,7.5,0.40
15,C33-34,620,"Trachea, bronchus and lung",1,3686,3483,3901,3686,30.4,76.8,3.7
16,C43,620,Melanoma of skin,1,163,125,213,163,1.3,3.4,0.13
17,C44,620,Non-melanoma skin cancer,1,128,90,181,128,0.77,2.7,0.06
18,C45,620,Mesothelioma,1,49,36,67,49,0.38,1.0,0.05
19,C46,620,Kaposi sarcoma,1,10,5,20,10,0.11,0.21,0.01
26,C60,620,Penis,1,32,22,47,32,0.21,0.67,0.02
27,C61,620,Prostate,1,2083,1928,2250,2083,11.1,43.4,0.78
28,C62,620,Testis,1,24,15,39,24,0.37,0.50,0.03
29,C64,620,Kidney,1,405,339,484,405,2.8,8.4,0.30
30,C67,620,Bladder,1,1018,918,1129,1018,6.0,21.2,0.56
31,C70-72,620," Brain, central nervous system",1,568,504,641,568,5.5,11.8,0.61
32,C73,620,Thyroid,1,41,29,59,41,0.26,0.85,0.02
33,C81,620,Hodgkin lymphoma,1,42,28,62,42,0.43,0.87,0.04
34,C82-86+C88,620,Non-Hodgkin lymphoma,1,546,473,630,546,4.3,11.4,0.46
35,C90,620,Multiple myeloma,1,366,312,430,366,2.5,7.6,0.28
36,C91-95,620,Leukaemia,1,618,516,739,618,4.9,12.9,0.46
