Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,630,All cancers,1,3212,3094,3335,3212,96.1,239.7,10.0
1,C00-06,630,"Lip, oral cavity",1,34,15,76,34,1.1,2.5,0.14
2,C07-08,630,Salivary glands,1,4,0,34,4,0.08,0.30,0.01
3,C09-10,630,Oropharynx,1,59,24,144,59,2.2,4.4,0.28
4,C11,630,Nasopharynx,1,16,2,103,16,0.48,1.2,0.05
5,C12-13,630,Hypopharynx,1,9,2,54,9,0.33,0.67,0.05
6,C15,630,Oesophagus,1,104,59,183,104,3.3,7.8,0.40
7,C16,630,Stomach,1,120,75,192,120,3.6,9.0,0.39
41,C18-C21,630,Colorectum,1,536,-,-,536,17.9,40.0,2.0
11,C22,630,Liver and intrahepatic bile ducts,1,268,190,378,268,8.7,20.0,1.1
12,C23,630,Gallbladder,1,3,0,25,3,0.08,0.22,0.01
13,C25,630,Pancreas,1,203,137,300,203,6.4,15.2,0.77
14,C32,630,Larynx,1,56,26,123,56,1.7,4.2,0.21
15,C33-34,630,"Trachea, bronchus and lung",1,362,268,489,362,10.8,27.0,1.3
16,C43,630,Melanoma of skin,1,15,4,57,15,0.44,1.1,0.05
17,C44,630,Non-melanoma skin cancer,1,33,15,75,33,0.82,2.5,0.07
18,C45,630,Mesothelioma,1,4,0,34,4,0.11,0.30,0.01
19,C46,630,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,630,Penis,1,10,1,84,10,0.32,0.75,0.04
27,C61,630,Prostate,1,590,478,728,590,12.9,44.0,0.98
28,C62,630,Testis,1,5,1,34,5,0.33,0.37,0.02
29,C64,630,Kidney,1,67,35,127,67,2.2,5.0,0.25
30,C67,630,Bladder,1,84,37,189,84,2.0,6.3,0.18
31,C70-72,630," Brain, central nervous system",1,59,30,116,59,2.3,4.4,0.27
32,C73,630,Thyroid,1,9,2,39,9,0.33,0.67,0.04
33,C81,630,Hodgkin lymphoma,1,13,4,41,13,0.51,0.97,0.05
34,C82-86+C88,630,Non-Hodgkin lymphoma,1,120,75,192,120,4.1,9.0,0.45
35,C90,630,Multiple myeloma,1,79,42,148,79,2.3,5.9,0.26
36,C91-95,630,Leukaemia,1,121,76,192,121,3.5,9.0,0.36
