Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,498,All cancers,1,4847,4688,5011,4847,177.5,252.5,20.2
1,C00-06,498,"Lip, oral cavity",1,145,116,181,145,5.4,7.6,0.67
2,C07-08,498,Salivary glands,1,9,4,18,9,0.33,0.47,0.04
3,C09-10,498,Oropharynx,1,127,101,160,127,4.7,6.6,0.59
4,C11,498,Nasopharynx,1,24,16,37,24,0.90,1.3,0.11
5,C12-13,498,Hypopharynx,1,88,68,114,88,3.2,4.6,0.43
6,C15,498,Oesophagus,1,118,92,152,118,4.3,6.2,0.56
7,C16,498,Stomach,1,336,284,397,336,12.2,17.5,1.6
41,C18-C21,498,Colorectum,1,680,-,-,680,24.6,35.4,3.1
11,C22,498,Liver and intrahepatic bile ducts,1,414,354,484,414,15.1,21.6,1.9
12,C23,498,Gallbladder,1,3,1,8,3,0.10,0.16,0.02
13,C25,498,Pancreas,1,276,235,325,276,10.2,14.4,1.2
14,C32,498,Larynx,1,189,155,230,189,6.9,9.9,0.90
15,C33-34,498,"Trachea, bronchus and lung",1,1022,935,1117,1022,37.0,53.3,4.9
16,C43,498,Melanoma of skin,1,51,37,71,51,1.9,2.7,0.21
17,C44,498,Non-melanoma skin cancer,1,27,18,40,27,0.99,1.4,0.12
18,C45,498,Mesothelioma,1,1,0,3,1,0.03,0.05,0.01
19,C46,498,Kaposi sarcoma,1,1,0,2,1,0.04,0.05,0.00
26,C60,498,Penis,1,7,4,13,7,0.26,0.36,0.03
27,C61,498,Prostate,1,373,322,433,373,13.4,19.4,1.7
28,C62,498,Testis,1,8,4,17,8,0.31,0.42,0.03
29,C64,498,Kidney,1,117,88,156,117,4.3,6.1,0.54
30,C67,498,Bladder,1,190,154,234,190,6.9,9.9,0.86
31,C70-72,498," Brain, central nervous system",1,144,113,184,144,5.5,7.5,0.64
32,C73,498,Thyroid,1,9,5,17,9,0.33,0.47,0.04
33,C81,498,Hodgkin lymphoma,1,12,7,21,12,0.44,0.63,0.06
34,C82-86+C88,498,Non-Hodgkin lymphoma,1,90,67,121,90,3.5,4.7,0.39
35,C90,498,Multiple myeloma,1,29,19,44,29,1.1,1.5,0.14
36,C91-95,498,Leukaemia,1,89,67,119,89,3.5,4.6,0.40
